"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","Security","50","50","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Justice (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Public Health England","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Public Health England","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Public Health England","Operational Delivery","70","50","34190","30460"
"New entrant CS","2021","East of England","Public Health England","Science and Engineering","30","30","[c]","[c]"
"New entrant CS","2021","East of England","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Attorney General's Office","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","Unknown","1190","1180","41250","28000"
"New entrant CS","2021","London","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Commercial Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","Legal","70","70","49520","50520"
"New entrant CS","2021","London","Crown Prosecution Service","Operational Delivery","100","100","22630","21000"
"New entrant CS","2021","London","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Debt Management Office","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Debt Management Office","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","40","40","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","70","70","38620","33570"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","510","500","38400","33570"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Policy","240","240","37610","34020"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Communications","50","40","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Policy","120","120","40250","32940"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Economics","40","40","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","390","380","37300","32560"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Digital, Data and Technology","50","50","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Economics","50","50","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","International Trade","110","110","33110","31800"
"New entrant CS","2021","London","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Policy","40","40","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Economics","50","50","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Other","40","40","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Policy","110","110","36130","34710"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Project Delivery","60","60","39140","34710"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","Unknown","50","50","38000","34710"
"New entrant CS","2021","London","Department for Work and Pensions (excl. agencies)","Unknown","3240","3180","30570","31060"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Commercial","40","40","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Communications","50","50","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Finance","70","70","36630","32790"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","50","50","53400","53360"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Policy","430","430","39750","32790"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Education and Skills Funding Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Actuary's Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","Legal","190","180","47230","50500"
"New entrant CS","2021","London","Government Legal Department","Other","60","60","27180","26950"
"New entrant CS","2021","London","Government Property Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Property Agency","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Property Agency","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Legal","50","50","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Operational Delivery","710","710","23720","22680"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Operational Delivery","790","780","28030","27220"
"New entrant CS","2021","London","HM Prison and Probation Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Tax","100","100","31800","32860"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Economics","50","50","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Policy","250","250","33370","30500"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Digital, Data and Technology","110","110","52820","48220"
"New entrant CS","2021","London","Home Office (incl. agencies)","Economics","30","30","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Operational Delivery","180","180","30250","28650"
"New entrant CS","2021","London","Home Office (incl. agencies)","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Other","250","240","35250","28650"
"New entrant CS","2021","London","Home Office (incl. agencies)","Policy","180","180","41860","36650"
"New entrant CS","2021","London","Home Office (incl. agencies)","Project Delivery","60","60","42510","35050"
"New entrant CS","2021","London","Home Office (incl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
