"Status","Year","Ethnicity","Region_ITL2","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Shropshire and Staffordshire","West Midlands (England)","270","250","29960","27570"
"In post","2021","Undeclared","South Yorkshire","Yorkshire and The Humber","420","390","32090","27940"
"In post","2021","Undeclared","Southern Scotland","Scotland","160","140","29840","27570"
"In post","2021","Undeclared","Surrey, East and West Sussex","South East (England)","440","390","31040","28350"
"In post","2021","Undeclared","Tees Valley and Durham","North East (England)","240","220","28460","27130"
"In post","2021","Undeclared","Unknown","Unknown","60","50","34660","30330"
"In post","2021","Undeclared","West Central Scotland","Scotland","690","640","30960","27570"
"In post","2021","Undeclared","West Midlands","West Midlands (England)","850","770","30550","27570"
"In post","2021","Undeclared","West Wales and The Valleys","Wales","630","590","30020","27130"
"In post","2021","Undeclared","West Yorkshire","Yorkshire and The Humber","610","560","30500","27570"
"In post","2021","Unknown","Bedfordshire and Hertfordshire","East of England","410","390","29890","28100"
"In post","2021","Unknown","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","1110","1060","31350","28350"
"In post","2021","Unknown","Cheshire","North West (England)","420","400","29660","27570"
"In post","2021","Unknown","Cornwall and Isles of Scilly","South West (England)","170","150","26640","22640"
"In post","2021","Unknown","Cumbria","North West (England)","320","310","25760","21050"
"In post","2021","Unknown","Derbyshire and Nottinghamshire","East Midlands (England)","1800","1700","28540","25560"
"In post","2021","Unknown","Devon","South West (England)","1100","1020","29150","26120"
"In post","2021","Unknown","Dorset and Somerset","South West (England)","520","490","29620","26780"
"In post","2021","Unknown","East Anglia","East of England","1090","1030","28940","26350"
"In post","2021","Unknown","East Wales","Wales","3040","2880","29020","25560"
"In post","2021","Unknown","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","410","390","25790","24880"
"In post","2021","Unknown","Eastern Scotland","Scotland","4990","4690","31010","27570"
"In post","2021","Unknown","Essex","East of England","580","540","29370","26590"
"In post","2021","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","2390","2280","34100","29690"
"In post","2021","Unknown","Greater Manchester","North West (England)","2790","2670","29300","25560"
"In post","2021","Unknown","Hampshire and Isle of Wight","South East (England)","1520","1370","30470","26590"
"In post","2021","Unknown","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","370","350","26280","24610"
"In post","2021","Unknown","Highlands and Islands","Scotland","250","220","27680","26530"
"In post","2021","Unknown","Inner London - East","London","2010","1920","40340","34700"
"In post","2021","Unknown","Inner London - West","London","11100","10900","45400","39610"
"In post","2021","Unknown","Kent","South East (England)","740","710","28660","27850"
"In post","2021","Unknown","Lancashire","North West (England)","1440","1330","26510","24440"
"In post","2021","Unknown","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","740","690","25330","22850"
"In post","2021","Unknown","Lincolnshire","East Midlands (England)","150","150","27370","26300"
"In post","2021","Unknown","Merseyside","North West (England)","2300","2140","27250","22920"
"In post","2021","Unknown","North Eastern Scotland","Scotland","420","400","32600","29190"
"In post","2021","Unknown","North Yorkshire","Yorkshire and The Humber","570","540","30860","26670"
"In post","2021","Unknown","Northern Ireland","Northern Ireland","650","610","25990","21440"
"In post","2021","Unknown","Northumberland and Tyne and Wear","North East (England)","3450","3120","26230","21440"
"In post","2021","Unknown","Outer London - East and North East","London","460","450","29570","31060"
"In post","2021","Unknown","Outer London - South","London","1240","1200","36020","31150"
"In post","2021","Unknown","Outer London - West and North West","London","760","730","31520","30580"
"In post","2021","Unknown","Overseas","Overseas","570","560","51740","51500"
"In post","2021","Unknown","Shropshire and Staffordshire","West Midlands (England)","860","810","28610","25560"
"In post","2021","Unknown","South Yorkshire","Yorkshire and The Humber","800","760","31780","27570"
"In post","2021","Unknown","Southern Scotland","Scotland","1420","1300","27310","22820"
"In post","2021","Unknown","Surrey, East and West Sussex","South East (England)","870","810","29680","27570"
"In post","2021","Unknown","Tees Valley and Durham","North East (England)","900","850","25580","22850"
"In post","2021","Unknown","Unknown","Unknown","2440","2430","37020","32700"
"In post","2021","Unknown","West Central Scotland","Scotland","3060","2870","29550","26160"
"In post","2021","Unknown","West Midlands","West Midlands (England)","2380","2250","29100","25560"
"In post","2021","Unknown","West Wales and The Valleys","Wales","1430","1320","26880","21590"
"In post","2021","Unknown","West Yorkshire","Yorkshire and The Humber","3060","2930","29820","25560"
"In post","2021","White","Bedfordshire and Hertfordshire","East of England","2950","2760","33160","30110"
"In post","2021","White","Berkshire, Buckinghamshire and Oxfordshire","South East (England)","6870","6540","33380","30400"
"In post","2021","White","Cheshire","North West (England)","3200","3010","31490","28840"
"In post","2021","White","Cornwall and Isles of Scilly","South West (England)","1360","1240","26510","26670"
"In post","2021","White","Cumbria","North West (England)","1710","1530","28200","25560"
"In post","2021","White","Derbyshire and Nottinghamshire","East Midlands (England)","8750","8080","31650","27570"
"In post","2021","White","Devon","South West (England)","7280","6690","31520","27570"
"In post","2021","White","Dorset and Somerset","South West (England)","4320","4000","29590","27570"
"In post","2021","White","East Anglia","East of England","10060","9370","30280","27570"
"In post","2021","White","East Wales","Wales","15820","14760","33240","28850"
"In post","2021","White","East Yorkshire and Northern Lincolnshire","Yorkshire and The Humber","4010","3650","28020","27130"
"In post","2021","White","Eastern Scotland","Scotland","13760","12930","35510","30650"
"In post","2021","White","Essex","East of England","4110","3750","30790","29290"
"In post","2021","White","Gloucestershire, Wiltshire and Bath/Bristol area","South West (England)","23430","22210","36720","33300"
"In post","2021","White","Greater Manchester","North West (England)","13770","12870","31570","27570"
"In post","2021","White","Hampshire and Isle of Wight","South East (England)","12230","11290","32220","28650"
"In post","2021","White","Herefordshire, Worcestershire and Warwickshire","West Midlands (England)","3150","2950","28320","26670"
"In post","2021","White","Highlands and Islands","Scotland","1630","1530","28930","27570"
"In post","2021","White","Inner London - East","London","8220","7840","47040","41030"
"In post","2021","White","Inner London - West","London","34260","33250","50080","48920"
"In post","2021","White","Kent","South East (England)","6770","6300","29620","28130"
"In post","2021","White","Lancashire","North West (England)","10950","9940","28770","27570"
"In post","2021","White","Leicestershire, Rutland and Northamptonshire","East Midlands (England)","3900","3580","28420","27130"
"In post","2021","White","Lincolnshire","East Midlands (England)","2450","2310","27840","26670"
"In post","2021","White","Merseyside","North West (England)","15860","14420","28770","25560"
"In post","2021","White","North Eastern Scotland","Scotland","1300","1230","36360","30650"
"In post","2021","White","North Yorkshire","Yorkshire and The Humber","3770","3570","33800","29690"
"In post","2021","White","Northern Ireland","Northern Ireland","3040","2850","28390","25560"
"In post","2021","White","Northumberland and Tyne and Wear","North East (England)","16510","14710","28680","25560"
"In post","2021","White","Outer London - East and North East","London","1550","1440","31410","31060"
"In post","2021","White","Outer London - South","London","5110","4830","40570","36160"
"In post","2021","White","Outer London - West and North West","London","3760","3480","35350","31870"
