"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Legal","South East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","South West (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Wales","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Wales","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Wales","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Wales","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East of England","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East of England","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East of England","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East of England","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","East of England","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","London","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","London","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","London","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","London","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","London","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North East (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North West (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","North West (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Overseas","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Overseas","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Scotland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Scotland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Scotland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Scotland","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Scotland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South East (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South East (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South West (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","South West (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Wales","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Wales","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Wales","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Wales","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","16-19","50","50","[c]","[c]"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","20-29","960","950","23140","23140"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","30-39","540","510","24880","23390"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","40-49","450","430","26730","24800"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","50-59","420","390","27010","24880"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","60-64","90","80","28020","27570"
"New entrant CS","2022","Operational Delivery","East Midlands (England)","65+","40","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","East of England","16-19","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","East of England","20-29","850","840","24340","24250"
"New entrant CS","2022","Operational Delivery","East of England","30-39","530","500","26000","24880"
"New entrant CS","2022","Operational Delivery","East of England","40-49","450","430","28550","26310"
"New entrant CS","2022","Operational Delivery","East of England","50-59","460","420","28120","26310"
"New entrant CS","2022","Operational Delivery","East of England","60-64","130","110","26530","25370"
"New entrant CS","2022","Operational Delivery","East of England","65+","40","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","London","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","London","20-29","2070","2020","29490","28650"
"New entrant CS","2022","Operational Delivery","London","30-39","1100","1060","33410","31060"
"New entrant CS","2022","Operational Delivery","London","40-49","800","770","36750","31060"
"New entrant CS","2022","Operational Delivery","London","50-59","690","660","35990","31060"
"New entrant CS","2022","Operational Delivery","London","60-64","180","160","36530","33700"
"New entrant CS","2022","Operational Delivery","London","65+","70","60","37970","35270"
"New entrant CS","2022","Operational Delivery","North East (England)","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","North East (England)","20-29","980","970","22930","21300"
"New entrant CS","2022","Operational Delivery","North East (England)","30-39","620","590","23970","22010"
"New entrant CS","2022","Operational Delivery","North East (England)","40-49","460","440","25780","23140"
"New entrant CS","2022","Operational Delivery","North East (England)","50-59","430","420","26400","23160"
"New entrant CS","2022","Operational Delivery","North East (England)","60-64","110","100","25780","22750"
"New entrant CS","2022","Operational Delivery","North East (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","North West (England)","16-19","100","100","21700","21250"
"New entrant CS","2022","Operational Delivery","North West (England)","20-29","2180","2140","23180","21680"
"New entrant CS","2022","Operational Delivery","North West (England)","30-39","1420","1370","24740","23170"
"New entrant CS","2022","Operational Delivery","North West (England)","40-49","910","870","26730","24800"
"New entrant CS","2022","Operational Delivery","North West (England)","50-59","830","780","27100","24880"
"New entrant CS","2022","Operational Delivery","North West (England)","60-64","240","220","26050","24800"
"New entrant CS","2022","Operational Delivery","North West (England)","65+","60","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland","20-29","70","70","22660","21250"
"New entrant CS","2022","Operational Delivery","Northern Ireland","30-39","60","60","25620","21250"
"New entrant CS","2022","Operational Delivery","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Overseas","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Overseas","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Overseas","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Overseas","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Scotland","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Scotland","20-29","1000","980","22890","21300"
"New entrant CS","2022","Operational Delivery","Scotland","30-39","610","610","24370","21680"
"New entrant CS","2022","Operational Delivery","Scotland","40-49","350","340","26010","22000"
"New entrant CS","2022","Operational Delivery","Scotland","50-59","340","320","25440","22000"
"New entrant CS","2022","Operational Delivery","Scotland","60-64","50","50","23710","21260"
"New entrant CS","2022","Operational Delivery","Scotland","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","South East (England)","16-19","80","70","23380","21790"
"New entrant CS","2022","Operational Delivery","South East (England)","20-29","1250","1230","24740","24270"
"New entrant CS","2022","Operational Delivery","South East (England)","30-39","790","750","27020","26140"
"New entrant CS","2022","Operational Delivery","South East (England)","40-49","610","580","28130","26310"
"New entrant CS","2022","Operational Delivery","South East (England)","50-59","720","640","27410","25770"
"New entrant CS","2022","Operational Delivery","South East (England)","60-64","210","160","26620","26130"
"New entrant CS","2022","Operational Delivery","South East (England)","65+","60","40","31840","28430"
"New entrant CS","2022","Operational Delivery","South West (England)","16-19","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","South West (England)","20-29","800","790","23360","22600"
"New entrant CS","2022","Operational Delivery","South West (England)","30-39","530","500","25850","23170"
"New entrant CS","2022","Operational Delivery","South West (England)","40-49","380","360","27820","24920"
"New entrant CS","2022","Operational Delivery","South West (England)","50-59","420","400","27640","26130"
"New entrant CS","2022","Operational Delivery","South West (England)","60-64","120","100","28710","24090"
"New entrant CS","2022","Operational Delivery","South West (England)","65+","40","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","20-29","90","90","24900","23140"
"New entrant CS","2022","Operational Delivery","Unknown","30-39","60","60","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","40-49","70","60","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","50-59","50","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Unknown","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Wales","16-19","90","80","19580","18310"
"New entrant CS","2022","Operational Delivery","Wales","20-29","1010","990","22400","21680"
"New entrant CS","2022","Operational Delivery","Wales","30-39","660","640","24520","22600"
"New entrant CS","2022","Operational Delivery","Wales","40-49","390","380","25440","21840"
"New entrant CS","2022","Operational Delivery","Wales","50-59","330","310","25760","22840"
"New entrant CS","2022","Operational Delivery","Wales","60-64","80","70","27210","26700"
"New entrant CS","2022","Operational Delivery","Wales","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","16-19","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","20-29","1330","1300","23370","23140"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","30-39","810","770","25270","24090"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","40-49","600","560","27660","24880"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","50-59","490","450","27580","26390"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","60-64","120","100","27910","26310"
"New entrant CS","2022","Operational Delivery","West Midlands (England)","65+","60","40","27230","26310"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","16-19","60","60","21820","21250"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","20-29","1390","1370","23940","23140"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","30-39","800","760","27060","24800"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","40-49","550","520","28200","26130"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","50-59","500","460","28470","26130"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","60-64","140","120","28040","28200"
"New entrant CS","2022","Operational Delivery","Yorkshire and The Humber","65+","40","30","[c]","[c]"
"New entrant CS","2022","Operational Research","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","East of England","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","London","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","London","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","London","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","London","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","North East (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","North East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","North West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","North West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Scotland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Scotland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South East (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South West (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","South West (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Wales","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Wales","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Wales","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","20-29","50","50","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","30-39","40","30","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","50-59","40","40","[c]","[c]"
"New entrant CS","2022","Other","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","20-29","40","40","[c]","[c]"
"New entrant CS","2022","Other","East of England","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","East of England","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","London","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","London","20-29","290","290","28950","26950"
"New entrant CS","2022","Other","London","30-39","110","110","38350","33450"
"New entrant CS","2022","Other","London","40-49","60","60","50020","39960"
"New entrant CS","2022","Other","London","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","London","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","London","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North East (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North East (England)","20-29","50","50","21770","21260"
"New entrant CS","2022","Other","North East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North East (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North West (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North West (England)","20-29","60","60","23300","21260"
"New entrant CS","2022","Other","North West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North West (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","North West (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Northern Ireland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Overseas","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Overseas","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Overseas","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Overseas","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Scotland","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Scotland","20-29","110","110","23680","21640"
"New entrant CS","2022","Other","Scotland","30-39","70","70","29300","25460"
"New entrant CS","2022","Other","Scotland","40-49","60","50","30300","27570"
"New entrant CS","2022","Other","Scotland","50-59","50","50","[c]","[c]"
"New entrant CS","2022","Other","Scotland","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South East (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South East (England)","20-29","70","70","22580","21220"
"New entrant CS","2022","Other","South East (England)","30-39","60","50","26510","21170"
"New entrant CS","2022","Other","South East (England)","40-49","50","40","[c]","[c]"
"New entrant CS","2022","Other","South East (England)","50-59","50","40","[c]","[c]"
"New entrant CS","2022","Other","South East (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South East (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South West (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South West (England)","20-29","170","170","22290","21200"
"New entrant CS","2022","Other","South West (England)","30-39","110","100","30090","28250"
"New entrant CS","2022","Other","South West (England)","40-49","90","90","31400","28500"
"New entrant CS","2022","Other","South West (England)","50-59","90","90","31960","27370"
"New entrant CS","2022","Other","South West (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","South West (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","20-29","80","80","20110","16190"
"New entrant CS","2022","Other","Unknown","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Unknown","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Wales","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Wales","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Other","Wales","30-39","40","40","[c]","[c]"
"New entrant CS","2022","Other","Wales","40-49","30","30","[c]","[c]"
"New entrant CS","2022","Other","Wales","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Wales","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","20-29","30","30","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","40-49","30","30","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","50-59","40","30","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","20-29","50","40","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","30-39","30","30","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","40-49","30","30","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Other","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","London","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","London","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","London","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","London","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","North East (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","North West (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","North West (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","North West (England)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","South West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","South West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Wales","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","East of England","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","London","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","North East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","North East (England)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","North West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","North West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","South East (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","South West (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","South West (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Wales","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Wales","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
