"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Inspector of Education and Training","60","50","60410","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Communications","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Digital, Data and Technology","60","60","46330","39850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Finance","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Inspector of Education and Training","670","650","67090","75500"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Operational Delivery","180","170","29000","25620"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Other","210","200","29280","25880"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Policy","50","50","52710","42850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Social Research","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","Statistics","100","90","40350","39850"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Inspector of Education and Training","70","70","58530","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Other","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Communications","30","30","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Digital, Data and Technology","90","90","51440","46160"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Economics","50","50","46920","46250"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Legal","70","70","61590","62380"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Operational Delivery","150","140","33420","27120"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Other","450","440","44680","37510"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Policy","70","70","37930","34240"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Other","60","60","44320","37210"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
