"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Flintshire and Wrexham","LGBO","70","70","25590","24040"
"In post","2021","Flintshire and Wrexham","Undeclared","410","380","28580","27570"
"In post","2021","Flintshire and Wrexham","Unknown","390","350","26550","23970"
"In post","2021","Glasgow City","Heterosexual / straight","7350","6860","32260","27570"
"In post","2021","Glasgow City","LGBO","500","490","31060","27570"
"In post","2021","Glasgow City","Undeclared","980","890","29790","26670"
"In post","2021","Glasgow City","Unknown","2820","2620","31500","27570"
"In post","2021","Gloucestershire","Heterosexual / straight","890","810","29500","27570"
"In post","2021","Gloucestershire","LGBO","50","50","27740","27570"
"In post","2021","Gloucestershire","Undeclared","180","160","30310","27570"
"In post","2021","Gloucestershire","Unknown","280","250","28100","27130"
"In post","2021","Greater Manchester North East","Heterosexual / straight","790","750","28130","27570"
"In post","2021","Greater Manchester North East","LGBO","50","50","[c]","[c]"
"In post","2021","Greater Manchester North East","Undeclared","110","100","27140","27570"
"In post","2021","Greater Manchester North East","Unknown","250","220","25990","27570"
"In post","2021","Greater Manchester North West","Heterosexual / straight","1290","1160","25780","24920"
"In post","2021","Greater Manchester North West","LGBO","60","60","24710","22850"
"In post","2021","Greater Manchester North West","Undeclared","150","130","24410","23240"
"In post","2021","Greater Manchester North West","Unknown","490","430","24420","21280"
"In post","2021","Greater Manchester South East","Heterosexual / straight","930","860","25880","22920"
"In post","2021","Greater Manchester South East","LGBO","60","60","24830","21580"
"In post","2021","Greater Manchester South East","Undeclared","140","120","26030","23840"
"In post","2021","Greater Manchester South East","Unknown","260","230","24710","21010"
"In post","2021","Greater Manchester South West","Heterosexual / straight","3530","3330","31510","27570"
"In post","2021","Greater Manchester South West","LGBO","300","290","29580","25560"
"In post","2021","Greater Manchester South West","Undeclared","440","410","31540","28130"
"In post","2021","Greater Manchester South West","Unknown","1880","1760","28460","25560"
"In post","2021","Gwent Valleys","Heterosexual / straight","770","700","29130","27570"
"In post","2021","Gwent Valleys","LGBO","40","40","[c]","[c]"
"In post","2021","Gwent Valleys","Undeclared","80","70","29600","27570"
"In post","2021","Gwent Valleys","Unknown","200","170","24730","22920"
"In post","2021","Gwynedd","Heterosexual / straight","490","450","25670","23830"
"In post","2021","Gwynedd","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Gwynedd","Undeclared","70","70","25390","23830"
"In post","2021","Gwynedd","Unknown","160","140","23500","21010"
"In post","2021","Hackney and Newham","Heterosexual / straight","1780","1660","35280","31060"
"In post","2021","Hackney and Newham","LGBO","110","100","35530","31060"
"In post","2021","Hackney and Newham","Undeclared","270","250","34760","31060"
"In post","2021","Hackney and Newham","Unknown","890","810","33080","31060"
"In post","2021","Haringey and Islington","Heterosexual / straight","880","840","31810","31060"
"In post","2021","Haringey and Islington","LGBO","60","60","32780","31060"
"In post","2021","Haringey and Islington","Undeclared","120","110","30690","31060"
"In post","2021","Haringey and Islington","Unknown","450","430","29610","31060"
"In post","2021","Harrow and Hillingdon","Heterosexual / straight","2540","2300","30990","29080"
"In post","2021","Harrow and Hillingdon","LGBO","60","60","29660","29080"
"In post","2021","Harrow and Hillingdon","Undeclared","480","420","32600","30410"
"In post","2021","Harrow and Hillingdon","Unknown","330","310","30820","29570"
"In post","2021","Hartlepool and Stockton-on-Tees","Heterosexual / straight","1050","970","27410","27570"
"In post","2021","Hartlepool and Stockton-on-Tees","LGBO","60","60","26850","27570"
"In post","2021","Hartlepool and Stockton-on-Tees","Undeclared","120","110","28580","27570"
"In post","2021","Hartlepool and Stockton-on-Tees","Unknown","320","280","26250","26300"
"In post","2021","Heart of Essex","Heterosexual / straight","770","720","32020","29290"
"In post","2021","Heart of Essex","LGBO","50","50","[c]","[c]"
"In post","2021","Heart of Essex","Undeclared","90","80","30900","29290"
"In post","2021","Heart of Essex","Unknown","210","200","32100","29060"
"In post","2021","Herefordshire, County of","Heterosexual / straight","320","300","27780","26670"
