"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared disabled","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Project Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Property","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Psychology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Public Health England","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Science and Engineering","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Social Research","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Statistics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Tax","HM Revenue and Customs (excl. agencies)","90","80","23490","20140"
"New entrant CS","2021","Declared disabled","Tax","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Cabinet Office (excl. agencies)","80","80","34610","28260"
"New entrant CS","2021","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Department for Work and Pensions (excl. agencies)","1990","1940","26680","27570"
"New entrant CS","2021","Declared disabled","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Scottish Government (excl. agencies)","50","50","34570","30650"
"New entrant CS","2021","Declared disabled","Unknown","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Social Security Scotland","50","50","23030","20060"
"New entrant CS","2021","Declared disabled","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Veterinarian","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Defence Equipment and Support","40","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Ministry of Defence (excl. agencies)","70","70","28640","26670"
"New entrant CS","2021","Declared non-disabled","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Communications","Public Health England","[c]","[c]","[c]","[c]"
