"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Forestry and Land Scotland","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Legal","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Legal","EO","80","80","27790","26950"
"New entrant CS","2021","Government Legal Department","Legal","G6/G7","100","90","54690","50500"
"New entrant CS","2021","Government Legal Department","Legal","SEO/HEO","60","60","43140","43920"
"New entrant CS","2021","Government Legal Department","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","No function","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","No function","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","No function","EO","70","70","26490","26370"
"New entrant CS","2021","Health and Safety Executive","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","No function","SEO/HEO","60","60","39640","36040"
"New entrant CS","2021","Health and Safety Executive","Property","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Legal","SEO/HEO","130","130","27470","26550"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","AA/AO","1640","1590","19660","18880"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","EO","180","180","23700","22840"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","No function","SEO/HEO","90","90","29980","30850"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Project Delivery","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Property","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Property","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Communications","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Digital, Data & Technology","EO","40","40","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Digital, Data & Technology","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Grants Management","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Human Resources","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Human Resources","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Legal","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Legal","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Legal","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","No function","AA/AO","510","500","22530","22350"
"New entrant CS","2021","HM Land Registry","No function","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Project Delivery","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","Property","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","AA/AO","3960","3900","23660","22850"
"New entrant CS","2021","HM Prison and Probation Service","No function","EO","130","130","25600","24620"
"New entrant CS","2021","HM Prison and Probation Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","No function","SEO/HEO","110","100","32580","31390"
"New entrant CS","2021","HM Prison and Probation Service","No function","Unknown","1440","1310","22910","22920"
"New entrant CS","2021","HM Prison and Probation Service","Security","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Security","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Security","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Security","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","HM Prison and Probation Service","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Analysis","SEO/HEO","90","90","34390","36160"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","EO","620","610","25560","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Communications","SEO/HEO","130","130","31830","31810"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","EO","80","80","26210","25560"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Counter Fraud","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Debt","AA/AO","940","920","20320","20140"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","Debt","EO","[c]","[c]","[c]","[c]"
