"Status","Year","Profession_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Intelligence Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","HM Revenue and Customs","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Home Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Home Office","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Defence","Declared non-disabled","50","50","29670","28700"
"New entrant CS","2022","Intelligence Analysis","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Defence","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Justice","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Revenue and Customs","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Ministry of Justice","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for International Trade","Declared non-disabled","90","90","36530","31800"
"New entrant CS","2022","International Trade","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for International Trade","Unknown","100","100","37680","31800"
"New entrant CS","2022","International Trade","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department of Health and Social Care","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Revenue and Customs","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Home Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Justice","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Northern Ireland Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Scottish Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","The National Archives","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","The National Archives","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Statistics Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Welsh Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Attorney General's Departments","Declared disabled","50","50","[c]","[c]"
"New entrant CS","2022","Legal","Attorney General's Departments","Declared non-disabled","350","340","45900","48080"
"New entrant CS","2022","Legal","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Attorney General's Departments","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Legal","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Revenue and Customs","Declared non-disabled","70","70","36750","30750"
"New entrant CS","2022","Legal","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Revenue and Customs","Unknown","60","60","34960","30750"
"New entrant CS","2022","Legal","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Ministry of Justice","Declared non-disabled","50","50","[c]","[c]"
"New entrant CS","2022","Legal","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Ministry of Justice","Unknown","60","60","34650","34260"
"New entrant CS","2022","Legal","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Gas and Electricity Markets","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Scottish Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Scottish Government","Declared non-disabled","80","80","37840","41750"
"New entrant CS","2022","Legal","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Supreme Court","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Supreme Court","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Welsh Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Legal","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Department of Health and Social Care","Declared non-disabled","50","40","72750","84560"
"New entrant CS","2022","Medicine","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Ministry of Defence","Declared non-disabled","90","80","41640","34170"
"New entrant CS","2022","Medicine","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Ministry of Defence","Unknown","130","100","44900","39030"
"New entrant CS","2022","Medicine","Welsh Government","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Welsh Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Attorney General's Departments","Declared disabled","50","50","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Attorney General's Departments","Declared non-disabled","220","220","22520","21720"
"New entrant CS","2022","Operational Delivery","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Attorney General's Departments","Unknown","80","70","22690","22200"
"New entrant CS","2022","Operational Delivery","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Charity Commission","Unknown","40","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Declared non-disabled","180","170","28170","24030"
"New entrant CS","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy","Unknown","130","130","24080","21810"
"New entrant CS","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Education","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Education","Unknown","70","70","33610","29360"
"New entrant CS","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Declared disabled","60","60","23050","21300"
"New entrant CS","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Declared non-disabled","770","740","23000","21300"
"New entrant CS","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Environment, Food and Rural Affairs","Unknown","60","50","23950","21300"
"New entrant CS","2022","Operational Delivery","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Declared non-disabled","60","50","29440","30190"
"New entrant CS","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Transport","Declared disabled","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department for Transport","Declared non-disabled","570","540","23750","21840"
"New entrant CS","2022","Operational Delivery","Department for Transport","Undeclared","50","50","23250","21840"
"New entrant CS","2022","Operational Delivery","Department for Transport","Unknown","610","580","24000","23940"
"New entrant CS","2022","Operational Delivery","Department for Work and Pensions","Declared disabled","820","800","25280","27570"
"New entrant CS","2022","Operational Delivery","Department for Work and Pensions","Declared non-disabled","5280","5160","25650","27570"
"New entrant CS","2022","Operational Delivery","Department for Work and Pensions","Undeclared","300","290","26170","27570"
"New entrant CS","2022","Operational Delivery","Department for Work and Pensions","Unknown","750","730","25410","25110"
"New entrant CS","2022","Operational Delivery","Department of Health and Social Care","Declared disabled","80","70","35070","28780"
"New entrant CS","2022","Operational Delivery","Department of Health and Social Care","Declared non-disabled","950","860","33550","28590"
"New entrant CS","2022","Operational Delivery","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Department of Health and Social Care","Unknown","610","560","41810","36330"
"New entrant CS","2022","Operational Delivery","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Foreign, Commonwealth and Development Office","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Foreign, Commonwealth and Development Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Land Registry","Declared non-disabled","130","130","24540","22600"
"New entrant CS","2022","Operational Delivery","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Land Registry","Unknown","180","180","24650","22600"
"New entrant CS","2022","Operational Delivery","HM Revenue and Customs","Declared disabled","160","150","24020","21250"
"New entrant CS","2022","Operational Delivery","HM Revenue and Customs","Declared non-disabled","1730","1690","23710","21250"
"New entrant CS","2022","Operational Delivery","HM Revenue and Customs","Undeclared","70","70","23360","21250"
"New entrant CS","2022","Operational Delivery","HM Revenue and Customs","Unknown","1510","1470","23180","21250"
"New entrant CS","2022","Operational Delivery","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Home Office","Declared disabled","40","40","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Home Office","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Home Office","Unknown","1680","1570","26010","24880"
"New entrant CS","2022","Operational Delivery","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Ministry of Defence","Declared non-disabled","80","70","28610","26740"
"New entrant CS","2022","Operational Delivery","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Operational Delivery","Ministry of Justice","Declared disabled","1620","1540","27990","25480"
"New entrant CS","2022","Operational Delivery","Ministry of Justice","Declared non-disabled","8510","8200","26390","23520"
"New entrant CS","2022","Operational Delivery","Ministry of Justice","Undeclared","440","420","28650","26310"
