"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Legal","80","60","36200","33190"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Operational Delivery","860","620","25550","22080"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Other","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Project Delivery","40","30","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Property","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Security","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Tax","350","240","38020","35980"
"In post","2022","HM Revenue and Customs (excl. agencies)","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Economics","120","120","35800","32320"
"In post","2022","HM Treasury (excl. agencies)","20-29","Finance","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Operational Delivery","40","40","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Policy","720","720","39800","33570"
"In post","2022","HM Treasury (excl. agencies)","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","20-29","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Economics","50","40","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Finance","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Operational Delivery","30","30","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Policy","480","470","56770","57530"
"In post","2022","HM Treasury (excl. agencies)","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","30-39","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Policy","140","140","66110","66480"
"In post","2022","HM Treasury (excl. agencies)","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","40-49","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Operational Delivery","40","40","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Policy","60","60","59910","53250"
"In post","2022","HM Treasury (excl. agencies)","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","50-59","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury (excl. agencies)","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","16-19","Operational Delivery","50","50","[c]","[c]"
"In post","2022","Home Office","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Communications","40","40","[c]","[c]"
"In post","2022","Home Office","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Digital, Data and Technology","260","250","38460","37450"
"In post","2022","Home Office","20-29","Economics","110","110","41270","35050"
"In post","2022","Home Office","20-29","Finance","30","30","[c]","[c]"
"In post","2022","Home Office","20-29","Human Resources","70","70","37020","35050"
"In post","2022","Home Office","20-29","Intelligence Analysis","100","100","27070","24890"
"In post","2022","Home Office","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Operational Delivery","3570","3490","25030","24880"
"In post","2022","Home Office","20-29","Operational Research","40","40","[c]","[c]"
"In post","2022","Home Office","20-29","Other","250","250","31230","28650"
"In post","2022","Home Office","20-29","Policy","620","610","42070","41950"
"In post","2022","Home Office","20-29","Project Delivery","220","220","35820","35050"
"In post","2022","Home Office","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","20-29","Social Research","70","70","38550","33650"
"In post","2022","Home Office","20-29","Statistics","90","90","30960","30100"
"In post","2022","Home Office","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Communications","70","70","50670","52050"
"In post","2022","Home Office","30-39","Counter Fraud","40","40","[c]","[c]"
"In post","2022","Home Office","30-39","Digital, Data and Technology","400","400","47640","44280"
"In post","2022","Home Office","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Finance","80","80","46170","41970"
"In post","2022","Home Office","30-39","Human Resources","150","150","40760","37450"
"In post","2022","Home Office","30-39","Intelligence Analysis","330","310","29240","27370"
"In post","2022","Home Office","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Operational Delivery","5860","5500","27340","25220"
"In post","2022","Home Office","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Other","380","360","36490","35050"
"In post","2022","Home Office","30-39","Policy","790","770","50880","57430"
"In post","2022","Home Office","30-39","Project Delivery","390","380","44210","41950"
"In post","2022","Home Office","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","30-39","Security","60","60","33000","29080"
"In post","2022","Home Office","30-39","Social Research","50","50","53360","59430"
"In post","2022","Home Office","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Commercial","30","30","[c]","[c]"
"In post","2022","Home Office","40-49","Communications","40","40","[c]","[c]"
"In post","2022","Home Office","40-49","Counter Fraud","60","50","28360","25310"
"In post","2022","Home Office","40-49","Digital, Data and Technology","450","440","53590","55050"
"In post","2022","Home Office","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Finance","80","80","47460","42550"
"In post","2022","Home Office","40-49","Human Resources","210","200","45130","37660"
"In post","2022","Home Office","40-49","Intelligence Analysis","410","390","30340","28650"
"In post","2022","Home Office","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Operational Delivery","6200","5780","29460","26480"
"In post","2022","Home Office","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Other","480","460","38190","35070"
"In post","2022","Home Office","40-49","Policy","580","550","55850","57460"
"In post","2022","Home Office","40-49","Project Delivery","480","470","46400","41970"
"In post","2022","Home Office","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Science and Engineering","40","40","[c]","[c]"
"In post","2022","Home Office","40-49","Security","90","90","33700","31060"
"In post","2022","Home Office","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","50-59","Commercial","30","30","[c]","[c]"
"In post","2022","Home Office","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","50-59","Counter Fraud","50","40","[c]","[c]"
"In post","2022","Home Office","50-59","Digital, Data and Technology","430","420","54590","54670"
"In post","2022","Home Office","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","50-59","Finance","100","100","48280","46010"
"In post","2022","Home Office","50-59","Human Resources","180","180","43500","39310"
"In post","2022","Home Office","50-59","Intelligence Analysis","460","440","30280","27370"
"In post","2022","Home Office","50-59","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2022","Home Office","50-59","Operational Delivery","7060","6520","29680","27370"
"In post","2022","Home Office","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","50-59","Other","440","430","36360","31100"
"In post","2022","Home Office","50-59","Policy","330","320","54070","52340"
"In post","2022","Home Office","50-59","Project Delivery","450","440","47930","42050"
"In post","2022","Home Office","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2022","Home Office","50-59","Science and Engineering","30","30","[c]","[c]"
