"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Digital, Data and Technology","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Other Cabinet Office Agencies","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Scottish Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","United Kingdom Statistics Authority","Digital, Data & Technology","130","130","37420","36030"
"New entrant CS","2021","Digital, Data and Technology","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Department for Business, Energy and Industrial Strategy","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Economics","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Department for Environment, Food and Rural Affairs","No function","40","40","[c]","[c]"
"New entrant CS","2021","Economics","Department for International Trade","Analysis","50","50","29510","31800"
"New entrant CS","2021","Economics","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Department for Transport","Analysis","50","50","[c]","[c]"
"New entrant CS","2021","Economics","Department of Health and Social Care","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Economics","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","HM Revenue and Customs","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","HM Treasury","No function","40","40","[c]","[c]"
"New entrant CS","2021","Economics","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Home Office","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Economics","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Ministry of Housing, Communities and Local Government","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","United Kingdom Statistics Authority","Analysis","50","50","26260","23050"
"New entrant CS","2021","Economics","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Economics","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Finance","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs","Finance","50","50","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care","Finance","150","150","36850","32790"
"New entrant CS","2021","Finance","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs","Finance","40","40","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","Finance","160","150","29140","26350"
"New entrant CS","2021","Finance","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other Cabinet Office Agencies","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Government","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Human Resources","90","90","32160","27270"
"New entrant CS","2021","Human Resources","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Home Office","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","Human Resources","160","150","28860","20920"
"New entrant CS","2021","Human Resources","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","National Crime Agency","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Wales Office","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Inspector of Education and Training","ESTYN","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Inspector of Education and Training","Office for Standards in Education","No function","90","90","63580","70500"
"New entrant CS","2021","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Intelligence Analysis","Department of Health and Social Care","Analysis","70","60","51160","53360"
