"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","EO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"New entrant CS","2021","EO","Female","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Ministry of Defence (excl. agencies)","290","280","27020","26350"
"New entrant CS","2021","EO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","EO","Female","Ministry of Justice (excl. agencies)","80","80","24750","26410"
"New entrant CS","2021","EO","Female","National Crime Agency","370","370","30610","32260"
"New entrant CS","2021","EO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Office of Gas and Electricity Markets","60","60","24630","23450"
"New entrant CS","2021","EO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Public Health England","250","220","25070","25010"
"New entrant CS","2021","EO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Scottish Government (excl. agencies)","90","80","26300","26160"
"New entrant CS","2021","EO","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Social Security Scotland","50","50","26480","26160"
"New entrant CS","2021","EO","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","UK Intellectual Property Office","50","50","24190","23320"
"New entrant CS","2021","EO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","United Kingdom Statistics Authority","100","100","23620","23050"
"New entrant CS","2021","EO","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Advisory, Conciliation and Arbitration Service","50","50","[c]","[c]"
"New entrant CS","2021","EO","Male","Animal and Plant Health Agency","80","80","26490","24920"
"New entrant CS","2021","EO","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Cabinet Office (excl. agencies)","110","110","26970","27500"
"New entrant CS","2021","EO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Defence Equipment and Support","200","190","21120","19040"
"New entrant CS","2021","EO","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","EO","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Department for Education (excl. agencies)","70","70","26050","25000"
"New entrant CS","2021","EO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","24680","25170"
"New entrant CS","2021","EO","Male","Department for International Trade","30","30","[c]","[c]"
"New entrant CS","2021","EO","Male","Department for Transport (excl. agencies)","50","50","27030","29970"
"New entrant CS","2021","EO","Male","Department for Work and Pensions (excl. agencies)","4120","4090","28530","27570"
"New entrant CS","2021","EO","Male","Department of Health and Social Care (excl. agencies)","80","80","26430","27270"
"New entrant CS","2021","EO","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"New entrant CS","2021","EO","Male","Driver and Vehicle Standards Agency","50","50","26980","26130"
"New entrant CS","2021","EO","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Government Legal Department","30","30","[c]","[c]"
"New entrant CS","2021","EO","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Health and Safety Executive","30","30","[c]","[c]"
"New entrant CS","2021","EO","Male","HM Courts and Tribunals Service","70","70","23360","22570"
"New entrant CS","2021","EO","Male","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","EO","Male","HM Prison and Probation Service","60","60","26420","24620"
"New entrant CS","2021","EO","Male","HM Revenue and Customs (excl. agencies)","600","590","25720","25560"
"New entrant CS","2021","EO","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Home Office (incl. agencies)","490","480","26320","24880"
"New entrant CS","2021","EO","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Ministry of Defence (excl. agencies)","350","350","27220","26350"
"New entrant CS","2021","EO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","EO","Male","National Crime Agency","300","300","31390","32520"
"New entrant CS","2021","EO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Office of Gas and Electricity Markets","70","70","25110","25670"
"New entrant CS","2021","EO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Public Health England","90","80","25430","26410"
"New entrant CS","2021","EO","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Scottish Government (excl. agencies)","50","50","26510","26160"
"New entrant CS","2021","EO","Male","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","UK Intellectual Property Office","50","50","[c]","[c]"
"New entrant CS","2021","EO","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","United Kingdom Statistics Authority","70","70","23590","23050"
"New entrant CS","2021","EO","Male","Valuation Office Agency","50","50","[c]","[c]"
"New entrant CS","2021","EO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Cabinet Office (excl. agencies)","110","110","62740","54700"
"New entrant CS","2021","G6/G7","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Crown Prosecution Service","120","110","51230","50520"
"New entrant CS","2021","G6/G7","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Department for Education (excl. agencies)","60","60","54980","53420"
"New entrant CS","2021","G6/G7","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","100","90","52920","52290"
"New entrant CS","2021","G6/G7","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Department for Work and Pensions (excl. agencies)","50","50","55640","54000"
"New entrant CS","2021","G6/G7","Female","Department of Health and Social Care (excl. agencies)","140","130","56510","53360"
"New entrant CS","2021","G6/G7","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Government Legal Department","60","60","54480","50500"
"New entrant CS","2021","G6/G7","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","HM Revenue and Customs (excl. agencies)","60","60","59410","59160"
"New entrant CS","2021","G6/G7","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Home Office (incl. agencies)","80","80","59750","57430"
"New entrant CS","2021","G6/G7","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Ministry of Defence (excl. agencies)","80","60","68140","68480"
"New entrant CS","2021","G6/G7","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Ministry of Justice (excl. agencies)","70","70","56370","55490"
"New entrant CS","2021","G6/G7","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Public Health England","140","130","56310","52610"
"New entrant CS","2021","G6/G7","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Scottish Government (excl. agencies)","110","100","54590","48930"
"New entrant CS","2021","G6/G7","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","United Kingdom Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Female","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Cabinet Office (excl. agencies)","150","150","62380","55280"
"New entrant CS","2021","G6/G7","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Crown Prosecution Service","110","100","51790","50520"
"New entrant CS","2021","G6/G7","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Defence Equipment and Support","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","59160","53380"
"New entrant CS","2021","G6/G7","Male","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Department for Education (excl. agencies)","60","50","55160","53420"
"New entrant CS","2021","G6/G7","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","54340","52450"
"New entrant CS","2021","G6/G7","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Department for Work and Pensions (excl. agencies)","120","120","59330","57500"
"New entrant CS","2021","G6/G7","Male","Department of Health and Social Care (excl. agencies)","110","110","56510","53360"
"New entrant CS","2021","G6/G7","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Government Legal Department","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","HM Revenue and Customs (excl. agencies)","70","70","57470","52580"
"New entrant CS","2021","G6/G7","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Home Office (incl. agencies)","140","140","59670","57430"
"New entrant CS","2021","G6/G7","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Ministry of Defence (excl. agencies)","70","70","66430","63500"
"New entrant CS","2021","G6/G7","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Ministry of Justice (excl. agencies)","90","90","61250","60000"
"New entrant CS","2021","G6/G7","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Public Health England","90","80","57530","54410"
"New entrant CS","2021","G6/G7","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
