"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Home Office","120","120","21710","21680"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Intellectual Property Office","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Legal Aid Agency","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Maritime and Coastguard Agency","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Met Office","50","50","18920","17900"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Ministry of Defence (excl. agencies)","740","710","22240","21170"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","National Crime Agency","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of the Public Guardian","60","60","20970","20970"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Rural Payments Agency","140","130","21240","21300"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Scottish Courts and Tribunals Service","100","100","21630","22000"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Scottish Government (excl. agencies)","160","150","23420","24400"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Social Security Scotland","240","240","21430","21050"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","UK Health Security Agency","190","170","21610","21820"
"New entrant CS","2022","Heterosexual / straight","AA/AO","UK Hydrographic Office","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","UK Statistics Authority","270","210","19860","19860"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Valuation Office Agency","80","80","21910","21750"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Welsh Government (excl. agencies)","60","50","21990","21300"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Animal and Plant Health Agency","130","130","25750","24920"
"New entrant CS","2022","Heterosexual / straight","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Cabinet Office (excl. agencies)","150","140","25680","25210"
"New entrant CS","2022","Heterosexual / straight","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Crown Prosecution Service","90","90","26270","26230"
"New entrant CS","2022","Heterosexual / straight","EO","Defence Equipment and Support","270","260","22250","22000"
"New entrant CS","2022","Heterosexual / straight","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","100","27370","27680"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Digital, Culture, Media and Sport","70","70","26120","26180"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Education (excl. agencies)","160","160","25470","25000"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","150","150","25640","24920"
"New entrant CS","2022","Heterosexual / straight","EO","Department for International Trade","60","60","26140","26250"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","80","80","26610","27850"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Transport (excl. agencies)","60","60","26840","26130"
"New entrant CS","2022","Heterosexual / straight","EO","Department for Work and Pensions (excl. agencies)","3650","3550","28260","27570"
"New entrant CS","2022","Heterosexual / straight","EO","Department of Health and Social Care (excl. agencies)","90","80","26680","27270"
"New entrant CS","2022","Heterosexual / straight","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Driver and Vehicle Standards Agency","150","150","26740","26130"
"New entrant CS","2022","Heterosexual / straight","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Government Legal Department","110","100","27410","26950"
"New entrant CS","2022","Heterosexual / straight","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Health and Safety Executive","70","70","26440","26370"
"New entrant CS","2022","Heterosexual / straight","EO","HM Courts and Tribunals Service","120","120","26370","25120"
"New entrant CS","2022","Heterosexual / straight","EO","HM Land Registry","80","80","27630","27130"
"New entrant CS","2022","Heterosexual / straight","EO","HM Prison and Probation Service","120","120","25510","24620"
"New entrant CS","2022","Heterosexual / straight","EO","HM Revenue and Customs (excl. agencies)","1230","1220","27030","26590"
"New entrant CS","2022","Heterosexual / straight","EO","HM Treasury (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Home Office","300","280","26600","24880"
"New entrant CS","2022","Heterosexual / straight","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Intellectual Property Office","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Met Office","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Ministry of Defence (excl. agencies)","400","390","27600","26350"
"New entrant CS","2022","Heterosexual / straight","EO","Ministry of Justice (excl. agencies)","70","70","26980","28310"
"New entrant CS","2022","Heterosexual / straight","EO","National Crime Agency","220","220","33230","32770"
"New entrant CS","2022","Heterosexual / straight","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of Gas and Electricity Markets","160","160","26120","25750"
"New entrant CS","2022","Heterosexual / straight","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Public Health England","40","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Scottish Government (excl. agencies)","110","100","27370","27230"
"New entrant CS","2022","Heterosexual / straight","EO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Social Security Scotland","310","300","27450","27230"
"New entrant CS","2022","Heterosexual / straight","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","UK Health Security Agency","280","250","25590","26880"
"New entrant CS","2022","Heterosexual / straight","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","UK Statistics Authority","90","90","23930","23880"
"New entrant CS","2022","Heterosexual / straight","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Valuation Office Agency","60","60","25600","25000"
"New entrant CS","2022","Heterosexual / straight","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Welsh Government (excl. agencies)","60","60","26510","25860"
"New entrant CS","2022","Heterosexual / straight","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","EO","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Cabinet Office (excl. agencies)","140","140","55150","54700"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Competition and Markets Authority","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Crown Prosecution Service","140","140","52450","53050"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Defence Equipment and Support","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","54980","53380"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Education (excl. agencies)","100","90","53980","49860"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","280","270","52080","50740"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for International Trade","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","90","80","52980","53130"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Transport (excl. agencies)","130","130","55680","54110"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department for Work and Pensions (excl. agencies)","160","160","55810","54070"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","55050","53360"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Government Legal Department","110","110","52750","50500"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Revenue and Customs (excl. agencies)","110","110","56440","54160"
"New entrant CS","2022","Heterosexual / straight","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Home Office","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Ministry of Defence (excl. agencies)","90","80","62760","58550"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Ministry of Justice (excl. agencies)","70","70","57160","56790"
"New entrant CS","2022","Heterosexual / straight","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office for Standards in Education, Children's Services and Skills","70","70","71130","70500"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of Gas and Electricity Markets","70","70","61850","60000"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Public Health England","40","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Government (excl. agencies)","90","90","56600","53480"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Health Security Agency","170","160","55550","52610"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","UK Statistics Authority","70","70","52990","50210"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
