"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Cabinet Office (excl. agencies)","160","150","38950","40600"
"In post","2022","Communications","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","60","42240","43630"
"In post","2022","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Department for Education (excl. agencies)","90","80","37440","36660"
"In post","2022","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","160","150","36600","36970"
"In post","2022","Communications","SEO/HEO","Department for International Trade","60","60","36920","38160"
"In post","2022","Communications","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","36860","34920"
"In post","2022","Communications","SEO/HEO","Department for Transport (excl. agencies)","50","50","39760","42470"
"In post","2022","Communications","SEO/HEO","Department for Work and Pensions (excl. agencies)","90","90","41740","41600"
"In post","2022","Communications","SEO/HEO","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Food Standards Agency","40","40","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","50","40","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","HM Revenue and Customs (excl. agencies)","1500","1470","34860","33370"
"In post","2022","Communications","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Ministry of Defence (excl. agencies)","240","240","38470","37340"
"In post","2022","Communications","SEO/HEO","Ministry of Justice (excl. agencies)","90","80","39670","41750"
"In post","2022","Communications","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Rural Payments Agency","30","30","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Export Finance","30","30","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Health Security Agency","50","50","36500","35910"
"In post","2022","Communications","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","Communications","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Companies House","90","80","21900","22740"
"In post","2022","Counter Fraud","AA/AO","Department for Work and Pensions (excl. agencies)","1830","1580","22390","21260"
"In post","2022","Counter Fraud","AA/AO","HM Revenue and Customs (excl. agencies)","830","730","22260","21690"
"In post","2022","Counter Fraud","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Companies House","60","50","25630","25010"
"In post","2022","Counter Fraud","EO","Department for Work and Pensions (excl. agencies)","3620","3240","28270","27570"
"In post","2022","Counter Fraud","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","EO","HM Revenue and Customs (excl. agencies)","3420","3220","28090","26820"
"In post","2022","Counter Fraud","EO","Serious Fraud Office","40","40","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Cabinet Office (excl. agencies)","60","50","57350","54700"
"In post","2022","Counter Fraud","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","G6/G7","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
