"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Inner London - West","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Asian","Female","90","80","29190","29290"
"In post","2021","Kent","Asian","Male","70","70","29800","29290"
"In post","2021","Kent","Black","Female","110","110","31870","29290"
"In post","2021","Kent","Black","Male","70","70","31270","29290"
"In post","2021","Kent","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Mixed","Female","60","60","29960","29290"
"In post","2021","Kent","Mixed","Male","50","50","31600","29290"
"In post","2021","Kent","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Kent","Undeclared","Female","190","170","28660","27370"
"In post","2021","Kent","Undeclared","Male","320","300","31140","28600"
"In post","2021","Kent","Unknown","Female","330","310","27550","25560"
"In post","2021","Kent","Unknown","Male","410","400","29550","29200"
"In post","2021","Kent","White","Female","3430","3100","28700","27370"
"In post","2021","Kent","White","Male","3340","3200","30560","29290"
"In post","2021","Lancashire","Asian","Female","400","330","24420","21010"
"In post","2021","Lancashire","Asian","Male","570","540","25130","21440"
"In post","2021","Lancashire","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Lancashire","Black","Male","30","30","[c]","[c]"
