"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Economics","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","50-59","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Economics","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Department of Health and Social Care (excl. agencies)","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Public Health England","40","40","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","50-59","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","60-64","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","65+","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","30-39","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Geography","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Public Health England","40","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Public Health England","50","40","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","30-39","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","Public Health England","50","50","45730","41280"
"Leaver Dept.","2022","Human Resources","40-49","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Human Resources","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
