"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Scotland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Competition and Markets Authority","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for Business, Energy and Industrial Strategy","200","190","36880","30950"
"In post","2021","Heterosexual / straight","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for Environment, Food and Rural Affairs","120","120","31920","29180"
"In post","2021","Heterosexual / straight","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Department for Transport","290","270","33070","28550"
"In post","2021","Heterosexual / straight","Scotland","Department for Work and Pensions","5950","5300","26460","27570"
"In post","2021","Heterosexual / straight","Scotland","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Foreign, Commonwealth and Development Office","600","580","41820","38600"
"In post","2021","Heterosexual / straight","Scotland","HM Revenue and Customs","4220","3810","28560","25560"
"In post","2021","Heterosexual / straight","Scotland","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Home Office","830","760","27040","25040"
"In post","2021","Heterosexual / straight","Scotland","Ministry of Defence","3130","3030","29270","25190"
"In post","2021","Heterosexual / straight","Scotland","Ministry of Justice","390","350","25510","22570"
"In post","2021","Heterosexual / straight","Scotland","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Office of Gas and Electricity Markets","210","210","36070","31720"
"In post","2021","Heterosexual / straight","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scotland Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Scottish Government","11630","11070","39000","33650"
"In post","2021","Heterosexual / straight","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","South East (England)","Attorney General's Departments","480","450","41640","36240"
"In post","2021","Heterosexual / straight","South East (England)","Cabinet Office","80","80","37440","33300"
"In post","2021","Heterosexual / straight","South East (England)","Department for Business, Energy and Industrial Strategy","90","80","31700","29000"
"In post","2021","Heterosexual / straight","South East (England)","Department for Environment, Food and Rural Affairs","940","900","36420","32560"
"In post","2021","Heterosexual / straight","South East (England)","Department for International Trade","100","90","45720","51790"
