"Status","Year","Disability","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Attorney General's Departments","480","440","57320","55610"
"In post","2021","Declared disabled","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","HM Revenue and Customs","260","240","33450","31810"
"In post","2021","Declared disabled","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Ministry of Justice","130","110","43270","43160"
"In post","2021","Declared disabled","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Scottish Government","50","40","[c]","[c]"
"In post","2021","Declared disabled","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Ministry of Defence","80","70","50310","38890"
"In post","2021","Declared disabled","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Attorney General's Departments","330","300","28180","25480"
"In post","2021","Declared disabled","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Department for Business, Energy and Industrial Strategy","360","340","31650","27480"
"In post","2021","Declared disabled","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Department for Education","150","150","39610","36780"
"In post","2021","Declared disabled","Operational Delivery","Department for Environment, Food and Rural Affairs","390","360","26350","24920"
"In post","2021","Declared disabled","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Department for Transport","920","780","24370","21590"
"In post","2021","Declared disabled","Operational Delivery","Department for Work and Pensions","220","200","39630","35910"
"In post","2021","Declared disabled","Operational Delivery","Department of Health and Social Care","170","150","35160","29600"
"In post","2021","Declared disabled","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Foreign, Commonwealth and Development Office","90","80","33210","28000"
"In post","2021","Declared disabled","Operational Delivery","HM Land Registry","400","340","28410","27130"
"In post","2021","Declared disabled","Operational Delivery","HM Revenue and Customs","2780","2400","25320","21440"
"In post","2021","Declared disabled","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Home Office","2190","1980","27590","25630"
"In post","2021","Declared disabled","Operational Delivery","Ministry of Defence","160","150","31760","29200"
"In post","2021","Declared disabled","Operational Delivery","Ministry of Housing, Communities and Local Government","80","80","31240","28530"
"In post","2021","Declared disabled","Operational Delivery","Ministry of Justice","7890","7310","27950","25790"
"In post","2021","Declared disabled","Operational Delivery","National Crime Agency","170","160","37250","36200"
"In post","2021","Declared disabled","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Scottish Government","480","450","31800","33650"
"In post","2021","Declared disabled","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","United Kingdom Statistics Authority","300","240","25860","23050"
"In post","2021","Declared disabled","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Welsh Government","100","90","36590","28850"
"In post","2021","Declared disabled","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Ministry of Defence","80","70","39920","37360"
"In post","2021","Declared disabled","Operational Research","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Declared disabled","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","HM Land Registry","[c]","[c]","[c]","[c]"
