"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","United Kingdom Statistics Authority","70","60","53050","50790"
"In post","2021","Declared disabled","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Cabinet Office (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Declared disabled","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Advisory, Conciliation and Arbitration Service","60","60","33980","31720"
"In post","2021","Declared disabled","SEO/HEO","Animal and Plant Health Agency","90","80","33510","32560"
"In post","2021","Declared disabled","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Cabinet Office (excl. agencies)","230","230","36210","35590"
"In post","2021","Declared disabled","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Crown Office and Procurator Fiscal Service","50","50","43920","40970"
"In post","2021","Declared disabled","SEO/HEO","Crown Prosecution Service","110","100","36430","35020"
"In post","2021","Declared disabled","SEO/HEO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Defence Equipment and Support","650","630","35790","35430"
"In post","2021","Declared disabled","SEO/HEO","Defence Science and Technology Laboratory","240","230","33060","32000"
"In post","2021","Declared disabled","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","200","200","37390","35820"
"In post","2021","Declared disabled","SEO/HEO","Department for Digital, Culture, Media and Sport","50","50","36170","34020"
"In post","2021","Declared disabled","SEO/HEO","Department for Education (excl. agencies)","260","250","35760","36500"
"In post","2021","Declared disabled","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","300","290","35120","35900"
"In post","2021","Declared disabled","SEO/HEO","Department for International Trade","70","70","35260","35360"
"In post","2021","Declared disabled","SEO/HEO","Department for Transport (excl. agencies)","90","80","38310","35990"
"In post","2021","Declared disabled","SEO/HEO","Department for Work and Pensions (excl. agencies)","1460","1350","34730","34290"
"In post","2021","Declared disabled","SEO/HEO","Department of Health and Social Care (excl. agencies)","60","60","36040","36820"
"In post","2021","Declared disabled","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
