"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","830","810","26010","27570"
"New entrant CS","2021","East Midlands (England)","Driver and Vehicle Standards Agency","60","60","35340","31710"
"New entrant CS","2021","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","HM Courts and Tribunals Service","130","130","19560","18880"
"New entrant CS","2021","East Midlands (England)","HM Land Registry","100","90","25170","22350"
"New entrant CS","2021","East Midlands (England)","HM Prison and Probation Service","530","510","22350","22850"
"New entrant CS","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","280","270","28080","25560"
"New entrant CS","2021","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","160","160","26870","20920"
"New entrant CS","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","National Crime Agency","40","40","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Public Health England","70","70","34290","31370"
"New entrant CS","2021","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Animal and Plant Health Agency","30","30","[c]","[c]"
"New entrant CS","2021","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Crown Commercial Service","30","30","[c]","[c]"
"New entrant CS","2021","East of England","Crown Prosecution Service","70","60","30430","24590"
"New entrant CS","2021","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Department for Work and Pensions (excl. agencies)","1250","1220","27360","27570"
"New entrant CS","2021","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","HM Courts and Tribunals Service","140","140","20440","18880"
"New entrant CS","2021","East of England","HM Land Registry","40","40","[c]","[c]"
"New entrant CS","2021","East of England","HM Prison and Probation Service","730","700","23650","22920"
"New entrant CS","2021","East of England","HM Revenue and Customs (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Home Office (incl. agencies)","100","100","23170","21430"
"New entrant CS","2021","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Defence (excl. agencies)","280","270","27960","26350"
"New entrant CS","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Public Health England","110","90","36320","30460"
"New entrant CS","2021","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Cabinet Office (excl. agencies)","1210","1200","41150","28000"
"New entrant CS","2021","London","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Competition and Markets Authority","70","70","49450","53530"
"New entrant CS","2021","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Crown Prosecution Service","180","180","34450","26970"
"New entrant CS","2021","London","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","690","680","38330","33570"
"New entrant CS","2021","London","Department for Digital, Culture, Media and Sport","360","350","39110","34020"
"New entrant CS","2021","London","Department for Education (excl. agencies)","220","210","38660","32940"
"New entrant CS","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","520","510","37770","32560"
"New entrant CS","2021","London","Department for International Trade","340","340","34370","31800"
"New entrant CS","2021","London","Department for Transport (excl. agencies)","470","460","37550","34710"
"New entrant CS","2021","London","Department for Work and Pensions (excl. agencies)","3240","3180","30570","31060"
"New entrant CS","2021","London","Department of Health and Social Care (excl. agencies)","810","800","40580","32790"
"New entrant CS","2021","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Food Standards Agency","40","40","[c]","[c]"
"New entrant CS","2021","London","Government Actuary's Department","30","30","[c]","[c]"
"New entrant CS","2021","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Government Legal Department","260","250","42050","43920"
"New entrant CS","2021","London","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","HM Courts and Tribunals Service","780","780","24700","22680"
"New entrant CS","2021","London","HM Land Registry","50","50","[c]","[c]"
"New entrant CS","2021","London","HM Prison and Probation Service","860","840","28180","27530"
"New entrant CS","2021","London","HM Revenue and Customs (excl. agencies)","320","320","35290","36160"
"New entrant CS","2021","London","HM Treasury (excl. agencies)","380","380","33000","28500"
"New entrant CS","2021","London","Home Office (incl. agencies)","930","920","39060","35050"
"New entrant CS","2021","London","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Medicines and Healthcare Products Regulatory Agency","150","150","40690","39850"
"New entrant CS","2021","London","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Ministry of Defence (excl. agencies)","260","260","33370","30200"
"New entrant CS","2021","London","Ministry of Housing, Communities and Local Government (excl. agencies)","210","210","39990","33210"
"New entrant CS","2021","London","Ministry of Justice (excl. agencies)","490","480","39810","36800"
"New entrant CS","2021","London","National Crime Agency","340","340","38280","36200"
"New entrant CS","2021","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Office for Standards in Education, Children's Services and Skills","50","50","48690","46360"
"New entrant CS","2021","London","Office of Gas and Electricity Markets","140","140","40250","33400"
"New entrant CS","2021","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Public Health England","920","810","38260","32330"
"New entrant CS","2021","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Serious Fraud Office","30","30","[c]","[c]"
"New entrant CS","2021","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","The National Archives","60","60","32670","31960"
"New entrant CS","2021","London","UK Export Finance","90","90","45700","44080"
"New entrant CS","2021","London","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","United Kingdom Statistics Authority","260","260","37390","32540"
"New entrant CS","2021","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for Education (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Department for Work and Pensions (excl. agencies)","1410","1390","24150","21010"
"New entrant CS","2021","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","HM Courts and Tribunals Service","40","40","[c]","[c]"
"New entrant CS","2021","North East (England)","HM Land Registry","70","70","25650","22350"
"New entrant CS","2021","North East (England)","HM Prison and Probation Service","260","250","22450","22850"
"New entrant CS","2021","North East (England)","HM Revenue and Customs (excl. agencies)","1000","980","23640","20140"
"New entrant CS","2021","North East (England)","Home Office (incl. agencies)","60","60","25020","24880"
"New entrant CS","2021","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Public Health England","50","40","[c]","[c]"
"New entrant CS","2021","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North East (England)","Valuation Office Agency","100","100","24090","20880"
"New entrant CS","2021","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Animal and Plant Health Agency","40","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Cabinet Office (excl. agencies)","60","60","39710","32000"
"New entrant CS","2021","North West (England)","Charity Commission","40","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Crown Commercial Service","70","70","38120","34800"
"New entrant CS","2021","North West (England)","Crown Prosecution Service","80","80","35160","38000"
"New entrant CS","2021","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Department for Digital, Culture, Media and Sport","30","30","[c]","[c]"
"New entrant CS","2021","North West (England)","Department for Education (excl. agencies)","140","140","35130","32390"
"New entrant CS","2021","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","35640","29560"
"New entrant CS","2021","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Department for Work and Pensions (excl. agencies)","2480","2460","25370","27570"
"New entrant CS","2021","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Health and Safety Executive","80","80","29690","26370"
"New entrant CS","2021","North West (England)","HM Courts and Tribunals Service","230","230","20400","19930"
"New entrant CS","2021","North West (England)","HM Land Registry","90","90","24800","22350"
"New entrant CS","2021","North West (England)","HM Prison and Probation Service","520","500","22800","22850"
"New entrant CS","2021","North West (England)","HM Revenue and Customs (excl. agencies)","920","900","24530","20140"
"New entrant CS","2021","North West (England)","Home Office (incl. agencies)","320","310","28530","24880"
"New entrant CS","2021","North West (England)","Insolvency Service","30","30","[c]","[c]"
"New entrant CS","2021","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Ministry of Defence (excl. agencies)","130","130","25080","20920"
"New entrant CS","2021","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","National Crime Agency","230","220","31940","30640"
"New entrant CS","2021","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Office for Standards in Education, Children's Services and Skills","50","40","[c]","[c]"
"New entrant CS","2021","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Public Health England","190","170","28150","23140"
"New entrant CS","2021","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","HM Revenue and Customs (excl. agencies)","230","220","21870","20140"
"New entrant CS","2021","Northern Ireland","Home Office (incl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Crown Office and Procurator Fiscal Service","150","140","25090","20760"
"New entrant CS","2021","Scotland","Defence Equipment and Support","30","30","[c]","[c]"
"New entrant CS","2021","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Department for Work and Pensions (excl. agencies)","1000","990","24800","27570"
"New entrant CS","2021","Scotland","Disclosure Scotland","50","40","[c]","[c]"
"New entrant CS","2021","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Food Standards Scotland","50","50","31310","30650"
"New entrant CS","2021","Scotland","Forestry and Land Scotland","100","90","27350","25140"
"New entrant CS","2021","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","HM Revenue and Customs (excl. agencies)","700","680","21650","20140"
"New entrant CS","2021","Scotland","Home Office (incl. agencies)","60","60","24750","24880"
"New entrant CS","2021","Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Ministry of Defence (excl. agencies)","220","210","26030","20920"
"New entrant CS","2021","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","National Records of Scotland","40","40","[c]","[c]"
"New entrant CS","2021","Scotland","Office of Gas and Electricity Markets","170","170","29640","23450"
"New entrant CS","2021","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Scottish Courts and Tribunals Service","100","100","23200","20850"
"New entrant CS","2021","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Scottish Government (excl. agencies)","790","770","37270","30650"
"New entrant CS","2021","Scotland","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Scottish Prison Service","280","270","22010","20810"
"New entrant CS","2021","Scotland","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Social Security Scotland","390","380","25920","20060"
"New entrant CS","2021","Scotland","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Transport Scotland","30","30","[c]","[c]"
"New entrant CS","2021","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Animal and Plant Health Agency","130","120","26650","24370"
"New entrant CS","2021","South East (England)","Cabinet Office (excl. agencies)","40","30","[c]","[c]"
"New entrant CS","2021","South East (England)","Crown Prosecution Service","120","120","32900","26970"
"New entrant CS","2021","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Defence Science and Technology Laboratory","60","50","31320","28650"
"New entrant CS","2021","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","South East (England)","Department for International Trade","30","30","[c]","[c]"
"New entrant CS","2021","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Department for Work and Pensions (excl. agencies)","2020","1980","26920","27570"
"New entrant CS","2021","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","HM Courts and Tribunals Service","180","170","20480","19930"
"New entrant CS","2021","South East (England)","HM Prison and Probation Service","980","940","24710","24020"
"New entrant CS","2021","South East (England)","HM Revenue and Customs (excl. agencies)","110","110","23940","20140"
"New entrant CS","2021","South East (England)","Home Office (incl. agencies)","270","260","25070","24880"
"New entrant CS","2021","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Maritime and Coastguard Agency","160","150","33150","30730"
"New entrant CS","2021","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Ministry of Defence (excl. agencies)","840","820","30560","26350"
"New entrant CS","2021","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","National Crime Agency","70","70","31810","32770"
"New entrant CS","2021","South East (England)","Public Health England","110","90","35380","30460"
"New entrant CS","2021","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","United Kingdom Statistics Authority","350","330","28970","29540"
"New entrant CS","2021","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Animal and Plant Health Agency","80","80","23500","21050"
"New entrant CS","2021","South West (England)","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Crown Prosecution Service","30","30","[c]","[c]"
"New entrant CS","2021","South West (England)","Defence Equipment and Support","620","600","32700","29000"
"New entrant CS","2021","South West (England)","Defence Science and Technology Laboratory","160","160","32510","28650"
"New entrant CS","2021","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","170","170","35010","30320"
"New entrant CS","2021","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Department for Work and Pensions (excl. agencies)","1140","1100","25630","27570"
"New entrant CS","2021","South West (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"New entrant CS","2021","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","HM Courts and Tribunals Service","110","100","19740","18880"
"New entrant CS","2021","South West (England)","HM Land Registry","170","160","27460","22350"
"New entrant CS","2021","South West (England)","HM Prison and Probation Service","460","440","22800","22850"
"New entrant CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","100","90","29800","25560"
"New entrant CS","2021","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Insolvency Service","40","40","[c]","[c]"
"New entrant CS","2021","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Met Office","130","120","33950","30930"
"New entrant CS","2021","South West (England)","Ministry of Defence (excl. agencies)","650","630","28870","26350"
"New entrant CS","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","National Crime Agency","130","120","32740","32770"
"New entrant CS","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
