"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","G6/G7","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Attorney General's Departments","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Cabinet Office","110","110","70550","64500"
"New entrant CS","2021","G6/G7","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Education","60","60","55390","53420"
"New entrant CS","2021","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","60","60","55080","53590"
"New entrant CS","2021","G6/G7","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Work and Pensions","30","30","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department of Health and Social Care","210","200","56740","53360"
"New entrant CS","2021","G6/G7","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","HM Revenue and Customs","70","70","58800","57550"
"New entrant CS","2021","G6/G7","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Home Office","150","140","59460","57430"
"New entrant CS","2021","G6/G7","Unknown","Ministry of Defence","50","50","68000","68480"
"New entrant CS","2021","G6/G7","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Ministry of Justice","80","80","58980","56870"
"New entrant CS","2021","G6/G7","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Scottish Government","130","130","55410","48930"
"New entrant CS","2021","G6/G7","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Attorney General's Departments","220","210","52810","50520"
"New entrant CS","2021","G6/G7","White","Cabinet Office","100","100","56320","54700"
"New entrant CS","2021","G6/G7","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Department for Business, Energy and Industrial Strategy","90","90","56700","53380"
"New entrant CS","2021","G6/G7","White","Department for Digital, Culture, Media and Sport","60","60","56100","51730"
"New entrant CS","2021","G6/G7","White","Department for Education","70","60","54680","53420"
"New entrant CS","2021","G6/G7","White","Department for Environment, Food and Rural Affairs","130","130","53570","52290"
"New entrant CS","2021","G6/G7","White","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Department for Transport","70","70","59070","54650"
"New entrant CS","2021","G6/G7","White","Department for Work and Pensions","110","110","57160","55350"
"New entrant CS","2021","G6/G7","White","Department of Health and Social Care","230","210","56670","53270"
"New entrant CS","2021","G6/G7","White","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","HM Revenue and Customs","50","50","[c]","[c]"
"New entrant CS","2021","G6/G7","White","HM Treasury","40","40","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Home Office","60","60","59910","57430"
"New entrant CS","2021","G6/G7","White","Ministry of Defence","160","150","60250","55000"
"New entrant CS","2021","G6/G7","White","Ministry of Housing, Communities and Local Government","50","50","53520","53130"
"New entrant CS","2021","G6/G7","White","Ministry of Justice","90","90","56090","55490"
"New entrant CS","2021","G6/G7","White","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Office for Standards in Education","60","60","72490","75500"
"New entrant CS","2021","G6/G7","White","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Other Cabinet Office Agencies","40","30","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Scottish Government","90","80","55850","56120"
"New entrant CS","2021","G6/G7","White","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","United Kingdom Statistics Authority","60","60","53560","52100"
"New entrant CS","2021","G6/G7","White","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","White","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Asian","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Black","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
