"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","EO","Female","Unknown","900","790","27290","27570"
"Leaver CS","2022","EO","Female","White","3850","3230","27390","27570"
"Leaver CS","2022","EO","Male","Asian","310","290","28220","27570"
"Leaver CS","2022","EO","Male","Black","170","160","28880","28670"
"Leaver CS","2022","EO","Male","Mixed","110","100","28300","27570"
"Leaver CS","2022","EO","Male","Other ethnicity","40","30","[c]","[c]"
"Leaver CS","2022","EO","Male","Undeclared","250","210","28640","27570"
"Leaver CS","2022","EO","Male","Unknown","900","840","27290","27570"
"Leaver CS","2022","EO","Male","White","2920","2660","27960","27570"
"Leaver CS","2022","EO","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","Asian","100","90","58470","55380"
"Leaver CS","2022","G6/G7","Female","Black","60","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","Mixed","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Female","Undeclared","70","60","58040","56950"
"Leaver CS","2022","G6/G7","Female","Unknown","340","260","60610","57190"
"Leaver CS","2022","G6/G7","Female","White","1390","1220","59270","56330"
"Leaver CS","2022","G6/G7","Male","Asian","120","110","59910","58460"
"Leaver CS","2022","G6/G7","Male","Black","60","50","57690","54700"
"Leaver CS","2022","G6/G7","Male","Mixed","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Male","Undeclared","140","130","59000","58550"
"Leaver CS","2022","G6/G7","Male","Unknown","440","380","60390","57430"
"Leaver CS","2022","G6/G7","Male","White","1470","1340","61280","59630"
"Leaver CS","2022","SCS","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Female","Undeclared","[c]","[c]","[c]","[c]"
