"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","No function","1740","1640","30920","29250"
"Leaver Dept.","2022","20-29","Male","Project Delivery","110","110","29990","27570"
"Leaver Dept.","2022","20-29","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Unknown","540","480","31270","28670"
"Leaver Dept.","2022","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Analysis","70","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Commercial","70","50","40750","39700"
"Leaver Dept.","2022","30-39","Female","Communications","90","70","42340","37300"
"Leaver Dept.","2022","30-39","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Digital, Data & Technology","110","90","40470","36530"
"Leaver Dept.","2022","30-39","Female","Finance","80","50","40760","36580"
"Leaver Dept.","2022","30-39","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Human Resources","140","130","39230","33070"
"Leaver Dept.","2022","30-39","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Legal","50","40","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","No function","2420","2230","37450","33330"
"Leaver Dept.","2022","30-39","Female","Project Delivery","90","90","40480","39170"
"Leaver Dept.","2022","30-39","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Female","Unknown","630","520","35490","29960"
"Leaver Dept.","2022","30-39","Male","Analysis","90","70","42740","40290"
"Leaver Dept.","2022","30-39","Male","Commercial","60","40","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Communications","80","60","42310","38000"
"Leaver Dept.","2022","30-39","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Digital, Data & Technology","140","130","39310","37030"
"Leaver Dept.","2022","30-39","Male","Finance","70","60","41730","37790"
"Leaver Dept.","2022","30-39","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Human Resources","70","60","35530","32000"
"Leaver Dept.","2022","30-39","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","No function","1670","1590","38040","32780"
"Leaver Dept.","2022","30-39","Male","Project Delivery","90","80","40280","38420"
"Leaver Dept.","2022","30-39","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Security","30","30","[c]","[c]"
"Leaver Dept.","2022","30-39","Male","Unknown","610","540","36270","30900"
"Leaver Dept.","2022","30-39","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Analysis","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Commercial","70","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Communications","70","50","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Digital, Data & Technology","100","80","46250","41970"
"Leaver Dept.","2022","40-49","Female","Finance","90","60","43230","38350"
"Leaver Dept.","2022","40-49","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Human Resources","120","110","41740","38200"
"Leaver Dept.","2022","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","No function","2050","1820","41610","36650"
"Leaver Dept.","2022","40-49","Female","Project Delivery","90","90","45680","41090"
"Leaver Dept.","2022","40-49","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Female","Unknown","400","340","40770","32740"
"Leaver Dept.","2022","40-49","Male","Analysis","50","30","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Commercial","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Communications","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Digital, Data & Technology","120","110","49060","45240"
"Leaver Dept.","2022","40-49","Male","Finance","90","70","46870","42470"
"Leaver Dept.","2022","40-49","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","No function","1090","1020","45380","40220"
"Leaver Dept.","2022","40-49","Male","Project Delivery","90","90","46900","42910"
"Leaver Dept.","2022","40-49","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Male","Unknown","370","330","40930","32740"
"Leaver Dept.","2022","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Commercial","50","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Digital, Data & Technology","40","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Finance","60","50","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Human Resources","100","90","43270","37980"
"Leaver Dept.","2022","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","No function","1490","1310","43880","36060"
"Leaver Dept.","2022","50-59","Female","Project Delivery","50","50","41590","38020"
"Leaver Dept.","2022","50-59","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Female","Unknown","270","230","37170","30280"
"Leaver Dept.","2022","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Commercial","50","40","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Communications","30","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Digital, Data & Technology","80","60","46210","40510"
"Leaver Dept.","2022","50-59","Male","Finance","50","40","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","No function","830","770","49680","42480"
"Leaver Dept.","2022","50-59","Male","Project Delivery","70","70","48090","40790"
"Leaver Dept.","2022","50-59","Male","Property","30","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Male","Unknown","210","180","38310","31770"
"Leaver Dept.","2022","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","No function","290","240","45990","35420"
"Leaver Dept.","2022","60-64","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","No function","180","150","62680","54700"
"Leaver Dept.","2022","60-64","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","No function","100","70","44770","32410"
"Leaver Dept.","2022","65+","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","No function","70","50","56240","42540"
"Leaver Dept.","2022","65+","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","65+","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","No function","220","210","21080","20600"
"New entrant CS","2021","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","Unknown","170","170","22480","21010"
"New entrant CS","2021","16-19","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","No function","160","150","21140","20140"
"New entrant CS","2021","16-19","Male","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","16-19","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Male","Unknown","120","120","22200","21010"
"New entrant CS","2021","16-19","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Female","Analysis","400","400","30850","31800"
"New entrant CS","2021","20-29","Female","Commercial","120","120","30270","26740"
"New entrant CS","2021","20-29","Female","Communications","330","320","27850","25560"
"New entrant CS","2021","20-29","Female","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2021","20-29","Female","Debt","240","230","20370","20140"
"New entrant CS","2021","20-29","Female","Digital, Data & Technology","250","250","31100","30730"
"New entrant CS","2021","20-29","Female","Finance","160","160","29500","28180"
"New entrant CS","2021","20-29","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Female","Human Resources","240","240","26680","26880"
"New entrant CS","2021","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Female","Legal","450","440","27880","24820"
"New entrant CS","2021","20-29","Female","No function","6250","6130","25670","23790"
"New entrant CS","2021","20-29","Female","Project Delivery","280","270","30140","28870"
"New entrant CS","2021","20-29","Female","Property","120","120","25450","24500"
"New entrant CS","2021","20-29","Female","Security","90","90","23640","23090"
"New entrant CS","2021","20-29","Female","Unknown","4730","4670","26800","27570"
"New entrant CS","2021","20-29","Male","Analysis","420","420","31060","31800"
"New entrant CS","2021","20-29","Male","Commercial","100","100","30780","27500"
"New entrant CS","2021","20-29","Male","Communications","300","300","27530","25560"
"New entrant CS","2021","20-29","Male","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","20-29","Male","Debt","220","210","20530","20140"
"New entrant CS","2021","20-29","Male","Digital, Data & Technology","350","350","31680","29360"
"New entrant CS","2021","20-29","Male","Finance","130","130","29740","28970"
"New entrant CS","2021","20-29","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Male","Human Resources","100","100","26630","26340"
"New entrant CS","2021","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Male","Legal","210","200","28280","26410"
"New entrant CS","2021","20-29","Male","No function","4170","4120","26370","24830"
"New entrant CS","2021","20-29","Male","Project Delivery","310","310","28590","27540"
"New entrant CS","2021","20-29","Male","Property","130","130","26330","24500"
"New entrant CS","2021","20-29","Male","Security","190","190","23950","23540"
"New entrant CS","2021","20-29","Male","Unknown","3510","3490","26290","27570"
"New entrant CS","2021","20-29","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Female","Analysis","90","90","38950","37020"
"New entrant CS","2021","30-39","Female","Commercial","100","100","47990","40850"
"New entrant CS","2021","30-39","Female","Communications","180","170","33850","28560"
"New entrant CS","2021","30-39","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Female","Debt","120","120","20550","20140"
"New entrant CS","2021","30-39","Female","Digital, Data & Technology","250","240","41050","38630"
"New entrant CS","2021","30-39","Female","Finance","100","100","36520","34090"
"New entrant CS","2021","30-39","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Female","Human Resources","180","170","33590","30800"
"New entrant CS","2021","30-39","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Female","Legal","250","240","40660","40080"
"New entrant CS","2021","30-39","Female","No function","2600","2450","29370","25010"
"New entrant CS","2021","30-39","Female","Project Delivery","250","240","36680","34020"
"New entrant CS","2021","30-39","Female","Property","70","60","30210","26670"
"New entrant CS","2021","30-39","Female","Security","60","60","26550","24620"
"New entrant CS","2021","30-39","Female","Unknown","3170","3020","28860","27570"
"New entrant CS","2021","30-39","Male","Analysis","130","120","37590","34710"
"New entrant CS","2021","30-39","Male","Commercial","90","90","48090","42310"
"New entrant CS","2021","30-39","Male","Communications","180","170","31400","25560"
"New entrant CS","2021","30-39","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Male","Debt","100","90","20520","20140"
"New entrant CS","2021","30-39","Male","Digital, Data & Technology","300","300","43290","38850"
"New entrant CS","2021","30-39","Male","Finance","90","90","37820","34510"
"New entrant CS","2021","30-39","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Male","Human Resources","60","60","33920","31900"
"New entrant CS","2021","30-39","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Male","Legal","130","120","41680","42840"
"New entrant CS","2021","30-39","Male","No function","2180","2140","29970","25850"
"New entrant CS","2021","30-39","Male","Project Delivery","270","270","38880","38590"
"New entrant CS","2021","30-39","Male","Property","100","90","32800","30000"
"New entrant CS","2021","30-39","Male","Security","130","130","27450","25390"
"New entrant CS","2021","30-39","Male","Unknown","2340","2330","29070","27570"
"New entrant CS","2021","30-39","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Female","Analysis","50","50","44880","39580"
"New entrant CS","2021","40-49","Female","Commercial","100","100","50630","49100"
"New entrant CS","2021","40-49","Female","Communications","100","90","34650","30640"
"New entrant CS","2021","40-49","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Female","Debt","70","70","20640","20140"
"New entrant CS","2021","40-49","Female","Digital, Data & Technology","140","140","43940","40600"
"New entrant CS","2021","40-49","Female","Finance","90","80","40000","38450"
"New entrant CS","2021","40-49","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Female","Human Resources","120","110","37140","32000"
"New entrant CS","2021","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Female","Legal","130","120","43760","48080"
"New entrant CS","2021","40-49","Female","No function","1620","1510","31510","25010"
"New entrant CS","2021","40-49","Female","Project Delivery","160","150","40230","38630"
"New entrant CS","2021","40-49","Female","Property","60","50","31670","28120"
"New entrant CS","2021","40-49","Female","Security","40","40","[c]","[c]"
"New entrant CS","2021","40-49","Female","Unknown","2490","2380","29190","27570"
"New entrant CS","2021","40-49","Male","Analysis","40","30","[c]","[c]"
"New entrant CS","2021","40-49","Male","Commercial","90","90","63970","64130"
"New entrant CS","2021","40-49","Male","Communications","110","110","34600","26000"
"New entrant CS","2021","40-49","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Male","Debt","60","60","20690","20140"
"New entrant CS","2021","40-49","Male","Digital, Data & Technology","290","290","45480","42000"
"New entrant CS","2021","40-49","Male","Finance","70","70","42930","38250"
"New entrant CS","2021","40-49","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Male","Human Resources","50","50","[c]","[c]"
"New entrant CS","2021","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Male","Legal","80","80","44970","48080"
"New entrant CS","2021","40-49","Male","No function","1160","1130","33260","25980"
"New entrant CS","2021","40-49","Male","Project Delivery","200","200","42750","40000"
"New entrant CS","2021","40-49","Male","Property","80","80","37030","33000"
"New entrant CS","2021","40-49","Male","Security","110","110","30060","25540"
"New entrant CS","2021","40-49","Male","Unknown","1860","1840","30120","27570"
"New entrant CS","2021","40-49","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Commercial","60","50","59860","50560"
"New entrant CS","2021","50-59","Female","Communications","40","40","[c]","[c]"
"New entrant CS","2021","50-59","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Debt","50","50","[c]","[c]"
"New entrant CS","2021","50-59","Female","Digital, Data & Technology","60","60","46450","44600"
"New entrant CS","2021","50-59","Female","Finance","60","50","35550","32620"
"New entrant CS","2021","50-59","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Human Resources","70","70","40020","32040"
"New entrant CS","2021","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Legal","60","60","41910","40000"
"New entrant CS","2021","50-59","Female","No function","1210","1110","28710","22680"
"New entrant CS","2021","50-59","Female","Project Delivery","100","100","39140","35900"
"New entrant CS","2021","50-59","Female","Property","40","40","[c]","[c]"
"New entrant CS","2021","50-59","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","Unknown","2240","2160","27890","27570"
"New entrant CS","2021","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Male","Commercial","80","80","70330","70000"
"New entrant CS","2021","50-59","Male","Communications","60","60","33040","26750"
"New entrant CS","2021","50-59","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Male","Debt","60","60","20820","20140"
"New entrant CS","2021","50-59","Male","Digital, Data & Technology","170","160","46890","47550"
"New entrant CS","2021","50-59","Male","Finance","50","50","[c]","[c]"
"New entrant CS","2021","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Male","Legal","60","60","44450","48080"
"New entrant CS","2021","50-59","Male","No function","1060","1020","32530","26130"
"New entrant CS","2021","50-59","Male","Project Delivery","190","190","43930","40580"
"New entrant CS","2021","50-59","Male","Property","110","110","37430","33300"
"New entrant CS","2021","50-59","Male","Security","150","150","30410","26350"
"New entrant CS","2021","50-59","Male","Unknown","1600","1590","29340","27570"
"New entrant CS","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","No function","240","190","31210","23050"
"New entrant CS","2021","60-64","Female","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","Unknown","360","350","25990","27570"
"New entrant CS","2021","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Male","Legal","[c]","[c]","[c]","[c]"
