"Status","Year","Age","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","60-64","Counter Fraud","AA/AO","110","90","21770","21440"
"In post","2021","60-64","Counter Fraud","EO","250","190","28040","28130"
"In post","2021","60-64","Counter Fraud","G6/G7","100","70","60220","58250"
"In post","2021","60-64","Counter Fraud","SEO/HEO","330","250","36640","35240"
"In post","2021","60-64","Debt","AA/AO","310","240","21810","21440"
"In post","2021","60-64","Debt","EO","110","90","28020","28130"
"In post","2021","60-64","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Digital, Data & Technology","AA/AO","40","30","[c]","[c]"
"In post","2021","60-64","Digital, Data & Technology","EO","140","120","27810","27100"
"In post","2021","60-64","Digital, Data & Technology","G6/G7","140","130","58150","57050"
"In post","2021","60-64","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Digital, Data & Technology","SEO/HEO","330","290","38160","37900"
"In post","2021","60-64","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Finance","AA/AO","190","140","21080","21130"
"In post","2021","60-64","Finance","EO","110","100","27400","26930"
"In post","2021","60-64","Finance","G6/G7","80","70","58220","57540"
"In post","2021","60-64","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Finance","SEO/HEO","250","220","39860","38870"
"In post","2021","60-64","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","AA/AO","80","70","21050","21050"
"In post","2021","60-64","Grants Management","EO","50","40","25880","25930"
"In post","2021","60-64","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","AA/AO","160","130","21430","21440"
"In post","2021","60-64","Human Resources","EO","100","80","28080","27720"
"In post","2021","60-64","Human Resources","G6/G7","70","60","60650","58650"
"In post","2021","60-64","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Human Resources","SEO/HEO","200","170","38130","38580"
"In post","2021","60-64","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Internal Audit","SEO/HEO","50","40","[c]","[c]"
"In post","2021","60-64","Legal","AA/AO","240","200","22140","21950"
"In post","2021","60-64","Legal","EO","150","130","28200","28430"
"In post","2021","60-64","Legal","G6/G7","350","290","62760","62590"
"In post","2021","60-64","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Legal","SEO/HEO","180","150","41960","42200"
"In post","2021","60-64","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","No function","AA/AO","6410","5030","22290","21440"
"In post","2021","60-64","No function","EO","2660","2110","28790","28130"
"In post","2021","60-64","No function","G6/G7","950","840","62140","59370"
"In post","2021","60-64","No function","SCS","190","160","107380","100660"
"In post","2021","60-64","No function","SEO/HEO","2390","1960","38590","36710"
"In post","2021","60-64","No function","Unknown","960","820","30690","28200"
"In post","2021","60-64","Project Delivery","AA/AO","60","50","22010","21490"
"In post","2021","60-64","Project Delivery","EO","390","350","25520","26410"
"In post","2021","60-64","Project Delivery","G6/G7","380","340","59670","58170"
"In post","2021","60-64","Project Delivery","SCS","50","50","[c]","[c]"
"In post","2021","60-64","Project Delivery","SEO/HEO","1010","910","37940","38250"
"In post","2021","60-64","Project Delivery","Unknown","90","80","45970","43630"
"In post","2021","60-64","Property","AA/AO","330","300","21150","20920"
"In post","2021","60-64","Property","EO","190","170","28250","27460"
"In post","2021","60-64","Property","G6/G7","120","110","59680","57480"
"In post","2021","60-64","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Property","SEO/HEO","410","360","38520","37450"
"In post","2021","60-64","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Security","AA/AO","550","500","24090","20060"
"In post","2021","60-64","Security","EO","100","90","28190","26670"
"In post","2021","60-64","Security","G6/G7","30","30","[c]","[c]"
"In post","2021","60-64","Security","SEO/HEO","120","100","39340","34700"
"In post","2021","60-64","Unknown","AA/AO","5940","4920","21350","21010"
"In post","2021","60-64","Unknown","EO","6160","4810","28160","27570"
"In post","2021","60-64","Unknown","G6/G7","690","610","63130","61010"
"In post","2021","60-64","Unknown","SCS","100","90","99220","86890"
"In post","2021","60-64","Unknown","SEO/HEO","2090","1760","37710","36370"
"In post","2021","60-64","Unknown","Unknown","170","170","39450","35380"
"In post","2021","65+","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","SEO/HEO","30","30","[c]","[c]"
"In post","2021","65+","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","EO","50","40","[c]","[c]"
"In post","2021","65+","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","AA/AO","50","40","[c]","[c]"
"In post","2021","65+","Counter Fraud","EO","50","40","28950","28130"
"In post","2021","65+","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","SEO/HEO","70","50","37530","36060"
"In post","2021","65+","Debt","AA/AO","100","80","22510","21440"
"In post","2021","65+","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","EO","40","30","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","G6/G7","40","30","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","SEO/HEO","90","70","38670","36460"
"In post","2021","65+","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","AA/AO","70","60","21410","20980"
"In post","2021","65+","Finance","EO","50","40","28260","28130"
"In post","2021","65+","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Finance","SEO/HEO","50","40","40480","40240"
"In post","2021","65+","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","AA/AO","50","40","21390","21440"
"In post","2021","65+","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Human Resources","SEO/HEO","50","40","[c]","[c]"
"In post","2021","65+","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Legal","AA/AO","80","70","21940","21950"
"In post","2021","65+","Legal","EO","50","40","[c]","[c]"
"In post","2021","65+","Legal","G6/G7","110","80","64190","62590"
"In post","2021","65+","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Legal","SEO/HEO","40","30","[c]","[c]"
"In post","2021","65+","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","No function","AA/AO","2240","1630","21690","20670"
"In post","2021","65+","No function","EO","800","590","28200","27430"
"In post","2021","65+","No function","G6/G7","330","250","63600","62190"
"In post","2021","65+","No function","SCS","50","40","[c]","[c]"
"In post","2021","65+","No function","SEO/HEO","660","470","38760","36570"
"In post","2021","65+","No function","Unknown","310","240","30630","28200"
"In post","2021","65+","Project Delivery","AA/AO","30","20","[c]","[c]"
"In post","2021","65+","Project Delivery","EO","110","90","25720","26000"
"In post","2021","65+","Project Delivery","G6/G7","80","70","61480","59790"
"In post","2021","65+","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","65+","Project Delivery","SEO/HEO","280","230","38000","37640"
"In post","2021","65+","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","65+","Property","AA/AO","150","130","20380","19320"
"In post","2021","65+","Property","EO","70","60","27820","26780"
"In post","2021","65+","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Property","SEO/HEO","130","110","39100","37510"
"In post","2021","65+","Security","AA/AO","150","130","22770","20310"
"In post","2021","65+","Security","EO","40","30","[c]","[c]"
"In post","2021","65+","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","65+","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Unknown","AA/AO","2160","1700","21560","21010"
"In post","2021","65+","Unknown","EO","1710","1230","28410","27570"
"In post","2021","65+","Unknown","G6/G7","160","130","66790","63180"
"In post","2021","65+","Unknown","SCS","30","30","[c]","[c]"
"In post","2021","65+","Unknown","SEO/HEO","550","430","38020","36460"
"In post","2021","65+","Unknown","Unknown","50","40","[c]","[c]"
"In post","2021","Unknown","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AA/AO","50","50","[c]","[c]"
"In post","2022","16-19","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AA/AO","30","30","[c]","[c]"
"In post","2022","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","AA/AO","600","560","21450","21250"
"In post","2022","16-19","No function","EO","80","80","26120","25520"
"In post","2022","16-19","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","90","90","18470","18030"
"In post","2022","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","100","100","21750","21260"
"In post","2022","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","40","40","[c]","[c]"
"In post","2022","20-29","Analysis","AA/AO","170","160","21840","21260"
"In post","2022","20-29","Analysis","EO","410","400","27050","27270"
"In post","2022","20-29","Analysis","G6/G7","420","420","55010","54090"
"In post","2022","20-29","Analysis","SEO/HEO","2020","2010","34990","34000"
"In post","2022","20-29","Commercial","AA/AO","70","70","21880","21640"
"In post","2022","20-29","Commercial","EO","290","280","26260","26350"
"In post","2022","20-29","Commercial","G6/G7","160","160","57560","54700"
