"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Analysis","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","LGBO","UK Statistics Authority","50","50","[c]","[c]"
"New entrant CS","2022","Analysis","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Department of Health and Social Care","50","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","UK Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2022","Analysis","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Environment, Food and Rural Affairs","50","50","28070","29180"
"New entrant CS","2022","Analysis","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Ministry of Defence","50","50","32420","29230"
"New entrant CS","2022","Analysis","Unknown","Ministry of Justice","30","30","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Analysis","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Cabinet Office","80","80","34910","30510"
"New entrant CS","2022","Commercial","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Education","60","60","31860","29360"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Transport","40","30","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Department of Health and Social Care","30","30","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Ministry of Defence","120","120","31620","27150"
"New entrant CS","2022","Commercial","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","UK Export Finance","40","40","[c]","[c]"
"New entrant CS","2022","Commercial","Heterosexual / straight","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Department of Health and Social Care","70","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Cabinet Office","200","200","72970","70180"
"New entrant CS","2022","Commercial","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Ministry of Defence","70","70","29100","26670"
"New entrant CS","2022","Commercial","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Commercial","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Cabinet Office","30","30","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Department of Health and Social Care","60","50","38070","32790"
"New entrant CS","2022","Communications","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","HM Revenue and Customs","430","430","27000","26590"
"New entrant CS","2022","Communications","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","HM Revenue and Customs","50","50","27940","26590"
"New entrant CS","2022","Communications","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Department of Health and Social Care","80","50","35430","27270"
"New entrant CS","2022","Communications","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","HM Revenue and Customs","380","370","26970","26590"
"New entrant CS","2022","Communications","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Communications","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Department for Work and Pensions","620","610","25500","25110"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","HM Revenue and Customs","400","400","28680","26590"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","Department for Work and Pensions","50","50","25080","25110"
"New entrant CS","2022","Counter Fraud","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","HM Revenue and Customs","40","40","[c]","[c]"
"New entrant CS","2022","Counter Fraud","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","Department for Work and Pensions","60","60","25830","27570"
"New entrant CS","2022","Counter Fraud","Unknown","HM Revenue and Customs","290","280","28450","26590"
"New entrant CS","2022","Debt","Heterosexual / straight","Department for Work and Pensions","250","240","21810","21260"
"New entrant CS","2022","Debt","Heterosexual / straight","HM Revenue and Customs","370","360","21550","21250"
"New entrant CS","2022","Debt","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","LGBO","HM Revenue and Customs","50","40","[c]","[c]"
"New entrant CS","2022","Debt","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Debt","Unknown","HM Revenue and Customs","290","270","21440","21250"
"New entrant CS","2022","Debt","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Cabinet Office","170","160","43340","40600"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","150","150","29370","24790"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Education","110","110","36970","36500"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Environment, Food and Rural Affairs","190","180","38840","36820"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for International Trade","30","30","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Transport","80","80","34180","30730"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department for Work and Pensions","260","260","41050","38000"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Department of Health and Social Care","60","50","34830","32790"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Digital, Data & Technology","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
