"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Digital, Data & Technology","Education and Skills Funding Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Education and Skills Funding Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Education and Skills Funding Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","20-29","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Land Registry","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","20-29","100","100","29870","31810"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","30-39","60","50","39270","31810"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","40-49","60","60","41460","38630"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","50-59","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Insolvency Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Insolvency Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Insolvency Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Met Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Met Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Met Office","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Met Office","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Met Office","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","20-29","30","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","30-39","80","80","52110","55500"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","40-49","50","50","56060","58130"
"New entrant CS","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Crime Agency","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","National Savings and Investments","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Planning Inspectorate","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Planning Inspectorate","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Planning Inspectorate","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Public Health England","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Public Health England","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Prison Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Serious Fraud Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Serious Fraud Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Serious Fraud Office","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Serious Fraud Office","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Submarine Delivery Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Submarine Delivery Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Submarine Delivery Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Hydrographic Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Hydrographic Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Hydrographic Office","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Hydrographic Office","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Intellectual Property Office","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Intellectual Property Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Intellectual Property Office","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Intellectual Property Office","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","20-29","50","50","28860","24920"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","30-39","40","30","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Water Services Regulation Authority","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Companies House","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Companies House","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Companies House","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Companies House","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Office and Procurator Fiscal Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Office and Procurator Fiscal Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","20-29","40","40","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Equipment and Support","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Science and Technology Laboratory","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care (excl. agencies)","20-29","90","90","31140","32790"
"New entrant CS","2021","Finance","Department of Health and Social Care (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Licensing Agency","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Licensing Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Licensing Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Driver and Vehicle Standards Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Education and Skills Funding Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Education and Skills Funding Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Education and Skills Funding Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Education and Skills Funding Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Forestry and Land Scotland","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Forestry and Land Scotland","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Government Property Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Health and Safety Executive","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Courts and Tribunals Service","65+","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Insolvency Service","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Institute for Apprenticeships and Technical Education","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Maritime and Coastguard Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Medicines and Healthcare Products Regulatory Agency","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Medicines and Healthcare Products Regulatory Agency","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence (excl. agencies)","20-29","30","30","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Savings and Investments","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Qualifications and Examinations Regulation","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","50-59","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Planning Inspectorate","20-29","[c]","[c]","[c]","[c]"
