"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Policy","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Maritime and Coastguard Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Ministry of Defence (excl. agencies)","Unknown","60","60","45740","44500"
"Leaver Dept.","2022","Policy","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Registers of Scotland","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Serious Fraud Office","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","The Insolvency Service","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","UK Statistics Authority","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Policy","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Defence Equipment and Support","No function","40","30","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Defence Equipment and Support","Project Delivery","90","90","36770","35630"
"Leaver Dept.","2022","Project Delivery","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Department for Work and Pensions (excl. agencies)","Project Delivery","60","60","35630","31990"
"Leaver Dept.","2022","Project Delivery","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Home Office","Unknown","70","70","40660","37460"
"Leaver Dept.","2022","Project Delivery","Institute for Apprenticeships and Technical Education","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Ministry of Defence (excl. agencies)","Project Delivery","90","90","45990","40580"
"Leaver Dept.","2022","Project Delivery","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","National Savings and Investments","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Planning Inspectorate","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","The Insolvency Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Project Delivery","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Office of Gas and Electricity Markets","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Public Health England","Property","30","30","[c]","[c]"
"Leaver Dept.","2022","Property","Submarine Delivery Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Property","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","Department for Work and Pensions (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Psychology","HM Prison and Probation Service","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Defence Equipment and Support","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Defence Equipment and Support","Project Delivery","60","60","31040","27540"
"Leaver Dept.","2022","Science and Engineering","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Health and Safety Executive","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Public Health England","No function","2110","1950","40200","37960"
"Leaver Dept.","2022","Science and Engineering","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","UK Health Security Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Science and Engineering","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Serious Fraud Office","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Security","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Estyn","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Social Research","UK Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","HM Revenue and Customs (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","HM Treasury (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Planning Inspectorate","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Public Health England","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","The Insolvency Service","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","UK Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Valuation Office Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Statistics","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","HM Revenue and Customs (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Tax","HM Revenue and Customs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Commercial","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Communications","70","70","44260","39370"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Digital, Data & Technology","60","60","48310","54700"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Human Resources","140","130","39790","34550"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","No function","1350","1340","41330","33250"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Cabinet Office (excl. agencies)","Security","70","70","37480","33300"
"Leaver Dept.","2022","Unknown","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Department for Transport (excl. agencies)","No function","300","300","43550","42470"
"Leaver Dept.","2022","Unknown","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","190","190","32480","27570"
"Leaver Dept.","2022","Unknown","Department of Health and Social Care (excl. agencies)","Analysis","110","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","310","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","HM Prison and Probation Service","No function","150","140","[c]","[c]"
"Leaver Dept.","2022","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","1320","1280","[c]","[c]"
"Leaver Dept.","2022","Unknown","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Scottish Government (excl. agencies)","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Welsh Revenue Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Veterinarian","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Crown Commercial Service","Commercial","60","50","31800","30000"
"New entrant CS","2021","Commercial","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Defence Equipment and Support","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Department of Health and Social Care (excl. agencies)","Commercial","80","70","45600","40650"
"New entrant CS","2021","Commercial","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Insolvency Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Met Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Defence (excl. agencies)","Commercial","100","90","28330","26670"
"New entrant CS","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Ministry of Justice (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Companies House","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
