"Status","Year","Profession_of_post","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Home Office","40","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Department for Transport","40","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Home Office","100","90","25990","25310"
"In post","2021","Counter Fraud","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Attorney General's Departments","80","80","64080","63000"
"In post","2021","Counter Fraud","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Attorney General's Departments","150","150","37560","40000"
"In post","2021","Counter Fraud","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Department for Business, Energy and Industrial Strategy","240","230","38750","39170"
"In post","2021","Counter Fraud","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Food Standards Agency","50","50","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Home Office","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Transport","60","50","21660","21590"
"In post","2021","Digital, Data and Technology","AA/AO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","HM Land Registry","60","50","21740","22350"
"In post","2021","Digital, Data and Technology","AA/AO","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Ministry of Defence","120","120","21390","20920"
"In post","2021","Digital, Data and Technology","AA/AO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Welsh Government","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Department for Business, Energy and Industrial Strategy","220","220","28780","26920"
"In post","2021","Digital, Data and Technology","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Department for Education","130","120","26500","26000"
"In post","2021","Digital, Data and Technology","EO","Department for Environment, Food and Rural Affairs","80","80","26290","25240"
"In post","2021","Digital, Data and Technology","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Department for Transport","280","280","27150","26470"
"In post","2021","Digital, Data and Technology","EO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Foreign, Commonwealth and Development Office","60","60","29020","26590"
"In post","2021","Digital, Data and Technology","EO","HM Land Registry","180","170","29880","31740"
"In post","2021","Digital, Data and Technology","EO","HM Revenue and Customs","270","250","26590","25560"
"In post","2021","Digital, Data and Technology","EO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Home Office","80","70","27110","25310"
"In post","2021","Digital, Data and Technology","EO","Ministry of Defence","340","330","27080","26670"
"In post","2021","Digital, Data and Technology","EO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Ministry of Justice","120","120","25460","26410"
"In post","2021","Digital, Data and Technology","EO","National Crime Agency","80","80","31160","30480"
"In post","2021","Digital, Data and Technology","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Scottish Government","70","70","30030","29710"
"In post","2021","Digital, Data and Technology","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","United Kingdom Statistics Authority","90","80","23740","23050"
"In post","2021","Digital, Data and Technology","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Welsh Government","60","60","28950","28850"
"In post","2021","Digital, Data and Technology","G6/G7","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Business, Energy and Industrial Strategy","200","190","58780","59170"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Education","250","240","55040","52830"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Environment, Food and Rural Affairs","320","310","52460","49350"
"In post","2021","Digital, Data and Technology","G6/G7","Department for International Trade","50","50","56710","55080"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Transport","200","200","61510","58850"
"In post","2021","Digital, Data and Technology","G6/G7","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Department of Health and Social Care","120","110","57440","53830"
"In post","2021","Digital, Data and Technology","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Foreign, Commonwealth and Development Office","70","70","58590","57180"
"In post","2021","Digital, Data and Technology","G6/G7","HM Land Registry","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","HM Revenue and Customs","460","450","56060","52580"
"In post","2021","Digital, Data and Technology","G6/G7","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Home Office","490","490","63080","61740"
"In post","2021","Digital, Data and Technology","G6/G7","Ministry of Defence","190","180","56510","56350"
"In post","2021","Digital, Data and Technology","G6/G7","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Ministry of Justice","420","410","61010","60000"
"In post","2021","Digital, Data and Technology","G6/G7","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Other Cabinet Office Agencies","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Scottish Government","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","United Kingdom Statistics Authority","220","210","52760","50090"
"In post","2021","Digital, Data and Technology","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Department for Education","[c]","[c]","[c]","[c]"
