"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","40-49","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","HM Courts and Tribunals Service","460","410","26430","22680"
"In post","2021","Asian","40-49","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Asian","40-49","HM Prison and Probation Service","420","390","33800","32870"
"In post","2021","Asian","40-49","HM Revenue and Customs (excl. agencies)","990","920","31990","29570"
"In post","2021","Asian","40-49","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Home Office (incl. agencies)","1310","1210","33040","29080"
"In post","2021","Asian","40-49","Insolvency Service","60","50","28710","25530"
"In post","2021","Asian","40-49","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Medicines and Healthcare Products Regulatory Agency","70","70","49430","42480"
"In post","2021","Asian","40-49","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Ministry of Defence (excl. agencies)","210","200","36620","33300"
"In post","2021","Asian","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","45270","38310"
"In post","2021","Asian","40-49","Ministry of Justice (excl. agencies)","130","120","43810","39560"
"In post","2021","Asian","40-49","National Crime Agency","80","70","37940","36740"
"In post","2021","Asian","40-49","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","Asian","40-49","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Office of the Public Guardian","80","80","21380","19930"
"In post","2021","Asian","40-49","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Public Health England","170","160","49880","40810"
"In post","2021","Asian","40-49","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Valuation Office Agency","60","50","34420","31070"
"In post","2021","Asian","40-49","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Cabinet Office (excl. agencies)","50","50","50870","41820"
"In post","2021","Asian","50-59","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Crown Prosecution Service","140","130","42760","34480"
"In post","2021","Asian","50-59","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Defence Equipment and Support","60","60","35720","34050"
"In post","2021","Asian","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","43880","36120"
"In post","2021","Asian","50-59","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Department for Education (excl. agencies)","50","50","44420","40230"
"In post","2021","Asian","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","50-59","Department for Work and Pensions (excl. agencies)","1610","1440","28200","27570"
"In post","2021","Asian","50-59","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Driver and Vehicle Standards Agency","40","30","[c]","[c]"
"In post","2021","Asian","50-59","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Asian","50-59","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","47500","39390"
"In post","2021","Asian","50-59","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","HM Courts and Tribunals Service","290","260","25210","22450"
"In post","2021","Asian","50-59","HM Land Registry","60","60","32870","27130"
"In post","2021","Asian","50-59","HM Prison and Probation Service","300","280","33400","31650"
"In post","2021","Asian","50-59","HM Revenue and Customs (excl. agencies)","830","780","32900","31810"
"In post","2021","Asian","50-59","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Home Office (incl. agencies)","820","760","31600","29080"
"In post","2021","Asian","50-59","Insolvency Service","30","30","[c]","[c]"
"In post","2021","Asian","50-59","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Asian","50-59","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Ministry of Defence (excl. agencies)","250","250","31480","26670"
"In post","2021","Asian","50-59","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Ministry of Justice (excl. agencies)","70","70","42660","39530"
"In post","2021","Asian","50-59","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Asian","50-59","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Public Health England","110","100","59940","44480"
"In post","2021","Asian","50-59","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Valuation Office Agency","50","40","[c]","[c]"
"In post","2021","Asian","50-59","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
