"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Declared disabled","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Declared non-disabled","150","140","26970","22710"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Undeclared","70","70","23680","22570"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Unknown","40","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Declared non-disabled","70","70","37560","35290"
"In post","2021","Crown Commercial Service","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Unknown","260","250","32540","31400"
"In post","2021","Crown Commercial Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Unknown","90","80","42310","40000"
"In post","2021","Crown Commercial Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Declared non-disabled","60","60","45430","39580"
"In post","2021","Crown Commercial Service","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Unknown","120","120","38320","32250"
"In post","2021","Crown Commercial Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Declared disabled","40","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Declared non-disabled","520","490","54770","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Undeclared","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Declared disabled","50","50","26340","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Declared non-disabled","1150","1060","26400","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Undeclared","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Declared non-disabled","90","90","40760","38180"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","Declared non-disabled","80","70","33670","30130"
"In post","2021","Crown Prosecution Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","Declared non-disabled","90","90","39940","37190"
"In post","2021","Crown Prosecution Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Declared disabled","330","310","56340","55610"
"In post","2021","Crown Prosecution Service","Legal","Declared non-disabled","2120","1960","57030","55610"
"In post","2021","Crown Prosecution Service","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Legal","Unknown","730","690","48420","48080"
"In post","2021","Crown Prosecution Service","Operational Delivery","Declared disabled","330","300","28030","25480"
"In post","2021","Crown Prosecution Service","Operational Delivery","Declared non-disabled","2070","1900","28240","27050"
"In post","2021","Crown Prosecution Service","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Operational Delivery","Unknown","650","620","23870","21950"
"In post","2021","Crown Prosecution Service","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Unknown","40","30","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Declared disabled","[c]","[c]","[c]","[c]"
