"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Work and Pensions","EO","Health and Safety Executive","450","420","27980","27840"
"In post","2021","Department for Work and Pensions","G6/G7","Department for Work and Pensions (excl. agencies)","2760","2650","56700","54070"
"In post","2021","Department for Work and Pensions","G6/G7","Health and Safety Executive","520","500","60970","57810"
"In post","2021","Department for Work and Pensions","SCS","Department for Work and Pensions (excl. agencies)","240","230","89740","80670"
"In post","2021","Department for Work and Pensions","SCS","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","SEO/HEO","Department for Work and Pensions (excl. agencies)","10060","9470","34810","34290"
"In post","2021","Department for Work and Pensions","SEO/HEO","Health and Safety Executive","1290","1220","44800","42030"
"In post","2021","Department of Health and Social Care","AA/AO","Department of Health and Social Care (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Department of Health and Social Care","AA/AO","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Department of Health and Social Care","AA/AO","Public Health England","910","790","21190","20230"
"In post","2021","Department of Health and Social Care","EO","Department of Health and Social Care (excl. agencies)","430","420","26810","27270"
"In post","2021","Department of Health and Social Care","EO","Medicines and Healthcare Products Regulatory Agency","220","210","27820","27400"
"In post","2021","Department of Health and Social Care","EO","Public Health England","920","850","25990","25810"
"In post","2021","Department of Health and Social Care","G6/G7","Department of Health and Social Care (excl. agencies)","1350","1310","57560","53360"
"In post","2021","Department of Health and Social Care","G6/G7","Medicines and Healthcare Products Regulatory Agency","430","410","59350","53970"
"In post","2021","Department of Health and Social Care","G6/G7","Public Health England","1880","1780","58280","54290"
"In post","2021","Department of Health and Social Care","SCS","Department of Health and Social Care (excl. agencies)","270","260","87780","77940"
"In post","2021","Department of Health and Social Care","SCS","Medicines and Healthcare Products Regulatory Agency","140","130","87410","84460"
"In post","2021","Department of Health and Social Care","SCS","Public Health England","470","410","108430","104580"
"In post","2021","Department of Health and Social Care","SEO/HEO","Department of Health and Social Care (excl. agencies)","1430","1400","35260","32790"
"In post","2021","Department of Health and Social Care","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","490","480","38090","40450"
"In post","2021","Department of Health and Social Care","SEO/HEO","Public Health England","2730","2490","36390","36680"
"In post","2021","ESTYN","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
