"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Inner London - West","110","110","41340","35010"
"In post","2021","Attorney General's Departments","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Merseyside","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Yorkshire","[c]","[c]","[c]","[c]"
