"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","EO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","National Savings and Investments","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office for Standards in Education, Children's Services and Skills","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","Analysis","40","40","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Gas and Electricity Markets","No function","160","160","25470","25750"
"New entrant CS","2022","EO","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Rail and Road","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Rail and Road","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Rail and Road","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of Rail and Road","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of the Public Guardian","No function","40","40","[c]","[c]"
"New entrant CS","2022","EO","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of the Secretary of State for Wales","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Office of the Secretary of State for Wales","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Public Health England","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Public Health England","No function","40","40","[c]","[c]"
"New entrant CS","2022","EO","Queen Elizabeth II Centre","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Queen Elizabeth II Centre","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Queen Elizabeth II Centre","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Rural Payments Agency","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Rural Payments Agency","Grants Management","40","40","[c]","[c]"
"New entrant CS","2022","EO","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Government (excl. agencies)","Unknown","240","240","27420","27230"
"New entrant CS","2022","EO","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Scottish Prison Service","No function","30","30","[c]","[c]"
"New entrant CS","2022","EO","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Social Security Scotland","Unknown","580","560","27420","27230"
"New entrant CS","2022","EO","Standards and Testing Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Teaching Regulation Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The Insolvency Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The Insolvency Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The Insolvency Service","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The Insolvency Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The National Archives","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The National Archives","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The National Archives","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","The National Archives","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Debt Management Office","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Debt Management Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Export Finance","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","Human Resources","30","30","[c]","[c]"
"New entrant CS","2022","EO","UK Health Security Agency","No function","390","350","25760","26880"
"New entrant CS","2022","EO","UK Hydrographic Office","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Hydrographic Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Hydrographic Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Space Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Space Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Analysis","30","30","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Digital, Data & Technology","40","30","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","No function","30","30","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Valuation Office Agency","Property","140","130","25680","25000"
"New entrant CS","2022","EO","Vehicle Certification Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Welsh Government (excl. agencies)","Unknown","80","70","26480","25860"
"New entrant CS","2022","EO","Welsh Revenue Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Wilton Park","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","EO","Wilton Park","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Commercial","190","190","70080","70000"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Digital, Data & Technology","100","100","54530","54700"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","No function","50","50","55340","54700"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Cabinet Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Charity Commission","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Companies House","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Commercial Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Crown Prosecution Service","Legal","140","140","51770","53050"
"New entrant CS","2022","G6/G7","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Equipment and Support","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Equipment and Support","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","No function","60","50","51450","47010"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","80","80","55510","53380"
"New entrant CS","2022","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Digital, Culture, Media and Sport","No function","50","50","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Digital, Data & Technology","50","50","52010","49860"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Property","40","40","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","110","110","50450","47950"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","250","240","53060","52290"
"New entrant CS","2022","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","No function","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","70","70","53250","53130"
"New entrant CS","2022","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","No function","130","120","57430","54110"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Transport (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","110","110","57080","57000"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department for Work and Pensions (excl. agencies)","Unknown","60","60","56630","54070"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Communications","40","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","No function","40","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Licensing Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Education Scotland","Unknown","30","30","[c]","[c]"
"New entrant CS","2022","G6/G7","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","G6/G7","Government Legal Department","Legal","130","120","52870","50500"
