"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Black","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Public Health England","230","210","36040","36330"
"Leaver Dept.","2022","Black","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Black","Unknown","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Department for Work and Pensions (excl. agencies)","70","60","28590","27570"
"Leaver Dept.","2022","Mixed","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Public Health England","30","30","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
