"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Female","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Business, Energy and Industrial Strategy","AA/AO","150","150","21370","20880"
"New entrant CS","2021","Female","Department for Business, Energy and Industrial Strategy","EO","220","220","25530","24250"
"New entrant CS","2021","Female","Department for Business, Energy and Industrial Strategy","G6/G7","70","60","55810","53380"
"New entrant CS","2021","Female","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","330","320","35640","33570"
"New entrant CS","2021","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Digital, Culture, Media and Sport","EO","60","50","27180","26180"
"New entrant CS","2021","Female","Department for Digital, Culture, Media and Sport","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Female","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","120","120","35820","34020"
"New entrant CS","2021","Female","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Education","EO","160","160","26020","25000"
"New entrant CS","2021","Female","Department for Education","G6/G7","80","80","54420","53420"
"New entrant CS","2021","Female","Department for Education","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Education","SEO/HEO","200","190","34400","36400"
"New entrant CS","2021","Female","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Environment, Food and Rural Affairs","AA/AO","210","200","21800","21050"
"New entrant CS","2021","Female","Department for Environment, Food and Rural Affairs","EO","220","220","24750","24920"
"New entrant CS","2021","Female","Department for Environment, Food and Rural Affairs","G6/G7","100","100","52960","52290"
"New entrant CS","2021","Female","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","370","360","33680","32560"
"New entrant CS","2021","Female","Department for International Trade","AA/AO","30","30","[c]","[c]"
"New entrant CS","2021","Female","Department for International Trade","EO","40","40","[c]","[c]"
"New entrant CS","2021","Female","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for International Trade","SEO/HEO","100","100","34020","31800"
"New entrant CS","2021","Female","Department for Transport","AA/AO","250","220","20570","21590"
"New entrant CS","2021","Female","Department for Transport","EO","140","140","26690","26130"
"New entrant CS","2021","Female","Department for Transport","G6/G7","50","50","58230","54110"
"New entrant CS","2021","Female","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Transport","SEO/HEO","190","190","35240","34710"
"New entrant CS","2021","Female","Department for Work and Pensions","AA/AO","2970","2920","21680","21010"
"New entrant CS","2021","Female","Department for Work and Pensions","EO","6810","6580","28610","27570"
"New entrant CS","2021","Female","Department for Work and Pensions","G6/G7","60","50","55550","54000"
"New entrant CS","2021","Female","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Department for Work and Pensions","SEO/HEO","230","230","35090","35000"
"New entrant CS","2021","Female","Department of Health and Social Care","AA/AO","330","280","20640","19630"
"New entrant CS","2021","Female","Department of Health and Social Care","EO","420","400","25740","26880"
"New entrant CS","2021","Female","Department of Health and Social Care","G6/G7","300","280","56380","53360"
"New entrant CS","2021","Female","Department of Health and Social Care","SCS","60","40","90870","89900"
"New entrant CS","2021","Female","Department of Health and Social Care","SEO/HEO","1140","1020","34630","32790"
"New entrant CS","2021","Female","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Food Standards Agency","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Female","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Land Registry","AA/AO","330","320","22490","22350"
"New entrant CS","2021","Female","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Land Registry","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Female","HM Revenue and Customs","AA/AO","1610","1550","20300","20140"
"New entrant CS","2021","Female","HM Revenue and Customs","EO","470","470","25660","25560"
"New entrant CS","2021","Female","HM Revenue and Customs","G6/G7","60","60","59410","59160"
"New entrant CS","2021","Female","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Revenue and Customs","SEO/HEO","350","340","33940","31810"
"New entrant CS","2021","Female","HM Revenue and Customs","Unknown","220","210","[c]","[c]"
"New entrant CS","2021","Female","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Treasury","EO","60","60","25660","24300"
"New entrant CS","2021","Female","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","HM Treasury","SEO/HEO","140","140","32620","32320"
"New entrant CS","2021","Female","Home Office","AA/AO","300","290","21820","21430"
"New entrant CS","2021","Female","Home Office","EO","370","370","27040","27370"
"New entrant CS","2021","Female","Home Office","G6/G7","80","80","59750","57430"
"New entrant CS","2021","Female","Home Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Home Office","SEO/HEO","220","210","38040","37390"
"New entrant CS","2021","Female","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Defence","AA/AO","700","670","20940","20920"
"New entrant CS","2021","Female","Ministry of Defence","EO","420","390","25370","26350"
"New entrant CS","2021","Female","Ministry of Defence","G6/G7","110","100","63560","58550"
"New entrant CS","2021","Female","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Defence","SEO/HEO","470","450","35500","34000"
"New entrant CS","2021","Female","Ministry of Defence","Unknown","80","70","33260","27500"
"New entrant CS","2021","Female","Ministry of Housing, Communities and Local Government","AA/AO","40","30","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Housing, Communities and Local Government","EO","50","50","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Housing, Communities and Local Government","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Housing, Communities and Local Government","SEO/HEO","100","100","34880","33210"
"New entrant CS","2021","Female","Ministry of Justice","AA/AO","2990","2910","21710","20600"
"New entrant CS","2021","Female","Ministry of Justice","EO","340","340","24400","24620"
"New entrant CS","2021","Female","Ministry of Justice","G6/G7","90","90","55890","55000"
"New entrant CS","2021","Female","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Ministry of Justice","SEO/HEO","510","500","32180","30940"
"New entrant CS","2021","Female","Ministry of Justice","Unknown","1130","1040","22870","22920"
"New entrant CS","2021","Female","National Crime Agency","AA/AO","60","60","21780","20800"
"New entrant CS","2021","Female","National Crime Agency","EO","370","370","30610","32260"
"New entrant CS","2021","Female","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","National Crime Agency","SEO/HEO","110","100","41790","40190"
"New entrant CS","2021","Female","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office for Standards in Education","G6/G7","30","30","[c]","[c]"
"New entrant CS","2021","Female","Office for Standards in Education","SEO/HEO","50","50","41580","44410"
"New entrant CS","2021","Female","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Gas and Electricity Markets","EO","60","60","24630","23450"
"New entrant CS","2021","Female","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Gas and Electricity Markets","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Female","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Other Cabinet Office Agencies","SEO/HEO","40","40","[c]","[c]"
"New entrant CS","2021","Female","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scotland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scottish Government","AA/AO","480","450","20710","20760"
"New entrant CS","2021","Female","Scottish Government","EO","210","200","26400","26160"
"New entrant CS","2021","Female","Scottish Government","G6/G7","140","130","54750","48930"
"New entrant CS","2021","Female","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Scottish Government","SEO/HEO","360","350","34820","32900"
"New entrant CS","2021","Female","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","The National Archives","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","The National Archives","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","United Kingdom Statistics Authority","AA/AO","90","80","19330","19130"
"New entrant CS","2021","Female","United Kingdom Statistics Authority","EO","100","100","23620","23050"
"New entrant CS","2021","Female","United Kingdom Statistics Authority","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Female","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","United Kingdom Statistics Authority","SEO/HEO","340","330","32930","32540"
"New entrant CS","2021","Female","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Wales Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Wales Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Welsh Government","AA/AO","70","60","20570","20500"
"New entrant CS","2021","Female","Welsh Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Welsh Government","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Male","Attorney General's Departments","AA/AO","90","90","20530","20120"
"New entrant CS","2021","Male","Attorney General's Departments","EO","60","60","27260","26950"
"New entrant CS","2021","Male","Attorney General's Departments","G6/G7","150","140","53200","50520"
"New entrant CS","2021","Male","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Attorney General's Departments","SEO/HEO","60","60","39090","38000"
"New entrant CS","2021","Male","Cabinet Office","AA/AO","80","80","21530","20800"
"New entrant CS","2021","Male","Cabinet Office","EO","110","110","26970","27500"
"New entrant CS","2021","Male","Cabinet Office","G6/G7","150","150","62380","55280"
"New entrant CS","2021","Male","Cabinet Office","SCS","110","110","85940","72000"
"New entrant CS","2021","Male","Cabinet Office","SEO/HEO","330","330","30930","28000"
"New entrant CS","2021","Male","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Charity Commission","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Business, Energy and Industrial Strategy","AA/AO","100","100","21420","20880"
"New entrant CS","2021","Male","Department for Business, Energy and Industrial Strategy","EO","190","190","26100","24500"
"New entrant CS","2021","Male","Department for Business, Energy and Industrial Strategy","G6/G7","90","80","58040","53380"
"New entrant CS","2021","Male","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Business, Energy and Industrial Strategy","SEO/HEO","340","340","35520","33570"
"New entrant CS","2021","Male","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Digital, Culture, Media and Sport","G6/G7","50","50","[c]","[c]"
"New entrant CS","2021","Male","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Digital, Culture, Media and Sport","SEO/HEO","100","100","36130","34020"
"New entrant CS","2021","Male","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Education","EO","80","80","25970","25000"
"New entrant CS","2021","Male","Department for Education","G6/G7","70","70","54800","53420"
"New entrant CS","2021","Male","Department for Education","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Education","SEO/HEO","150","150","34690","36500"
"New entrant CS","2021","Male","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Environment, Food and Rural Affairs","AA/AO","120","110","21940","21050"
"New entrant CS","2021","Male","Department for Environment, Food and Rural Affairs","EO","160","160","25520","24920"
"New entrant CS","2021","Male","Department for Environment, Food and Rural Affairs","G6/G7","120","120","54480","52690"
"New entrant CS","2021","Male","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Environment, Food and Rural Affairs","SEO/HEO","290","290","33190","32560"
"New entrant CS","2021","Male","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for International Trade","EO","30","30","[c]","[c]"
"New entrant CS","2021","Male","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for International Trade","SEO/HEO","110","110","33570","31800"
"New entrant CS","2021","Male","Department for Transport","AA/AO","240","230","22780","21590"
"New entrant CS","2021","Male","Department for Transport","EO","160","160","27220","26130"
"New entrant CS","2021","Male","Department for Transport","G6/G7","80","80","59340","54650"
"New entrant CS","2021","Male","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Transport","SEO/HEO","290","290","35970","34710"
"New entrant CS","2021","Male","Department for Work and Pensions","AA/AO","2600","2590","21520","21010"
"New entrant CS","2021","Male","Department for Work and Pensions","EO","4150","4130","28510","27570"
"New entrant CS","2021","Male","Department for Work and Pensions","G6/G7","120","120","59150","57400"
"New entrant CS","2021","Male","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Department for Work and Pensions","SEO/HEO","230","220","36600","35310"
"New entrant CS","2021","Male","Department of Health and Social Care","AA/AO","120","110","20500","19630"
"New entrant CS","2021","Male","Department of Health and Social Care","EO","180","170","26000","26880"
"New entrant CS","2021","Male","Department of Health and Social Care","G6/G7","220","210","56940","53360"
"New entrant CS","2021","Male","Department of Health and Social Care","SCS","70","60","98970","88450"
"New entrant CS","2021","Male","Department of Health and Social Care","SEO/HEO","470","450","34680","32790"
"New entrant CS","2021","Male","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Food Standards Agency","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Male","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Land Registry","AA/AO","230","220","22550","22350"
"New entrant CS","2021","Male","HM Land Registry","EO","30","30","[c]","[c]"
"New entrant CS","2021","Male","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Land Registry","SEO/HEO","30","30","[c]","[c]"
"New entrant CS","2021","Male","HM Revenue and Customs","AA/AO","1430","1410","20280","20140"
"New entrant CS","2021","Male","HM Revenue and Customs","EO","640","640","25690","25560"
"New entrant CS","2021","Male","HM Revenue and Customs","G6/G7","70","70","57470","52580"
"New entrant CS","2021","Male","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Revenue and Customs","SEO/HEO","420","420","33750","31810"
"New entrant CS","2021","Male","HM Revenue and Customs","Unknown","110","110","[c]","[c]"
"New entrant CS","2021","Male","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Treasury","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Treasury","G6/G7","40","40","[c]","[c]"
"New entrant CS","2021","Male","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","HM Treasury","SEO/HEO","140","140","31970","32320"
"New entrant CS","2021","Male","Home Office","AA/AO","300","300","21710","21430"
"New entrant CS","2021","Male","Home Office","EO","490","480","26320","24880"
"New entrant CS","2021","Male","Home Office","G6/G7","140","140","59670","57430"
"New entrant CS","2021","Male","Home Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Home Office","SEO/HEO","240","240","37460","36210"
"New entrant CS","2021","Male","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Defence","AA/AO","830","820","22940","20920"
"New entrant CS","2021","Male","Ministry of Defence","EO","560","560","25070","26350"
"New entrant CS","2021","Male","Ministry of Defence","G6/G7","140","140","61580","56360"
"New entrant CS","2021","Male","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Defence","SEO/HEO","750","740","36020","34500"
"New entrant CS","2021","Male","Ministry of Defence","Unknown","160","160","36540","33250"
"New entrant CS","2021","Male","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Housing, Communities and Local Government","EO","40","40","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Housing, Communities and Local Government","G6/G7","50","50","52310","53130"
"New entrant CS","2021","Male","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Housing, Communities and Local Government","SEO/HEO","80","80","34530","33210"
"New entrant CS","2021","Male","Ministry of Justice","AA/AO","2730","2700","23030","22850"
"New entrant CS","2021","Male","Ministry of Justice","EO","180","170","24620","24620"
"New entrant CS","2021","Male","Ministry of Justice","G6/G7","110","110","59240","58260"
"New entrant CS","2021","Male","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Ministry of Justice","SEO/HEO","370","360","33670","31650"
"New entrant CS","2021","Male","Ministry of Justice","Unknown","320","280","23210","22920"
"New entrant CS","2021","Male","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","National Crime Agency","EO","300","300","31390","32520"
"New entrant CS","2021","Male","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","National Crime Agency","SEO/HEO","150","140","42050","40210"
"New entrant CS","2021","Male","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Gas and Electricity Markets","EO","70","70","25110","25670"
"New entrant CS","2021","Male","Office of Gas and Electricity Markets","G6/G7","30","30","[c]","[c]"
"New entrant CS","2021","Male","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Gas and Electricity Markets","SEO/HEO","50","50","[c]","[c]"
"New entrant CS","2021","Male","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
