"Status","Year","Profession_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","140","130","39590","39170"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Unknown","110","100","39160","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Heterosexual / straight","50","50","38850","37320"
"In post","2021","Counter Fraud","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Heterosexual / straight","160","140","27010","25310"
"In post","2021","Counter Fraud","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Heterosexual / straight","140","140","40910","38180"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","Heterosexual / straight","60","60","56130","51270"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","420","410","44060","40050"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Undeclared","70","70","44530","41660"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Unknown","510","500","37940","35020"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","Heterosexual / straight","570","550","39700","36780"
"In post","2021","Digital, Data and Technology","Department for Education","LGBO","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","Undeclared","70","70","40020","36870"
"In post","2021","Digital, Data and Technology","Department for Education","Unknown","210","210","40880","37100"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Heterosexual / straight","500","490","44000","47550"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Undeclared","70","60","42020","39910"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Unknown","120","120","40350","37720"
"In post","2021","Digital, Data and Technology","Department for International Trade","Heterosexual / straight","60","60","45480","43000"
"In post","2021","Digital, Data and Technology","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for International Trade","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport","Heterosexual / straight","740","730","40190","37660"
"In post","2021","Digital, Data and Technology","Department for Transport","LGBO","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport","Undeclared","210","210","39090","37270"
"In post","2021","Digital, Data and Technology","Department for Transport","Unknown","170","170","36580","31630"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","Heterosexual / straight","190","180","43750","40850"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","Undeclared","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","Unknown","150","150","44790","40650"
"In post","2021","Digital, Data and Technology","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Heterosexual / straight","200","200","43160","40330"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Unknown","100","90","41150","39190"
"In post","2021","Digital, Data and Technology","HM Land Registry","Heterosexual / straight","380","350","39360","38450"
"In post","2021","Digital, Data and Technology","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Land Registry","Undeclared","70","60","38590","38450"
"In post","2021","Digital, Data and Technology","HM Land Registry","Unknown","220","210","35620","33840"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","Heterosexual / straight","1110","1050","40270","38630"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","LGBO","60","60","38740","34260"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","Undeclared","150","140","38540","35000"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","Unknown","610","590","38970","34620"
"In post","2021","Digital, Data and Technology","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office","Heterosexual / straight","910","890","50030","45170"
"In post","2021","Digital, Data and Technology","Home Office","LGBO","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Home Office","Undeclared","150","150","50160","48000"
"In post","2021","Digital, Data and Technology","Home Office","Unknown","120","120","49550","46070"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Heterosexual / straight","1040","1010","36790","33300"
"In post","2021","Digital, Data and Technology","Ministry of Defence","LGBO","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Undeclared","190","190","35850","34050"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Unknown","140","130","38160","37100"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","Heterosexual / straight","90","90","46380","41610"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Heterosexual / straight","650","640","44690","41750"
"In post","2021","Digital, Data and Technology","Ministry of Justice","LGBO","60","60","49520","48500"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Undeclared","100","100","45600","42800"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Unknown","210","210","50440","52020"
"In post","2021","Digital, Data and Technology","National Crime Agency","Heterosexual / straight","200","190","41180","38490"
"In post","2021","Digital, Data and Technology","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","National Crime Agency","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education","Heterosexual / straight","60","60","46380","39850"
