"Status","Year","Function_of_post","Parent_department","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Crown Commercial Service","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","United Kingdom Statistics Authority","United Kingdom Statistics Authority","130","130","37420","36030"
"New entrant CS","2021","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Cabinet Office","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Finance","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","150","140","34710","32790"
"New entrant CS","2021","Finance","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Department of Health and Social Care","Public Health England","30","30","[c]","[c]"
"New entrant CS","2021","Finance","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Foreign, Commonwealth and Development Office","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","60","50","28890","20140"
"New entrant CS","2021","Finance","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","Defence Equipment and Support","70","70","28920","25000"
"New entrant CS","2021","Finance","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","Ministry of Defence (excl. agencies)","100","100","30830","27470"
"New entrant CS","2021","Finance","Ministry of Defence","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Ministry of Justice","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other Cabinet Office Agencies","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","Department for Environment, Food and Rural Affairs","Rural Payments Agency","50","50","22320","21050"
"New entrant CS","2021","Grants Management","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Attorney General's Departments","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Cabinet Office","Cabinet Office (excl. agencies)","110","110","31510","27750"
"New entrant CS","2021","Human Resources","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department for Work and Pensions","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","50","50","30060","27270"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Department of Health and Social Care","Public Health England","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","HM Treasury","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","Defence Equipment and Support","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","Ministry of Defence (excl. agencies)","110","100","26790","20920"
"New entrant CS","2021","Human Resources","Ministry of Defence","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Defence","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Housing, Communities and Local Government","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Justice","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Justice","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Ministry of Justice","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Human Resources","National Crime Agency","National Crime Agency","30","30","[c]","[c]"
"New entrant CS","2021","Human Resources","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other Cabinet Office Agencies","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Other Cabinet Office Agencies","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Scottish Government","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","United Kingdom Statistics Authority","United Kingdom Statistics Authority","40","40","[c]","[c]"
"New entrant CS","2021","Human Resources","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HM Treasury","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Defence","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Ministry of Justice","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Attorney General's Departments","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Attorney General's Departments","Crown Prosecution Service","690","680","33110","26970"
"New entrant CS","2021","Legal","Attorney General's Departments","Government Legal Department","240","230","42440","43920"
"New entrant CS","2021","Legal","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Education","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Defence","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Justice","HM Courts and Tribunals Service","140","140","27710","26550"
"New entrant CS","2021","Legal","Ministry of Justice","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Justice","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","Legal","Ministry of Justice","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Scottish Government","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"New entrant CS","2021","Legal","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Scottish Government","Scottish Courts and Tribunals Service","90","80","22900","20850"
"New entrant CS","2021","Legal","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Welsh Government","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Attorney General's Departments","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Attorney General's Departments","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Cabinet Office","Cabinet Office (excl. agencies)","900","900","32150","28000"
"New entrant CS","2021","No function","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","150","140","25640","24250"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","600","590","38270","33570"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Insolvency Service","180","170","22340","20880"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","130","130","25230","23320"
"New entrant CS","2021","No function","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","250","250","37600","34020"
"New entrant CS","2021","No function","Department for Education","Department for Education (excl. agencies)","250","250","34660","29360"
"New entrant CS","2021","No function","Department for Education","Education and Skills Funding Agency","60","60","33250","29360"
"New entrant CS","2021","No function","Department for Education","Institute for Apprenticeships and Technical Education","30","30","[c]","[c]"
"New entrant CS","2021","No function","Department for Education","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Education","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","470","460","25170","24370"
"New entrant CS","2021","No function","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","670","660","35930","32560"
"New entrant CS","2021","No function","Department for International Trade","Department for International Trade","220","220","33200","31800"
"New entrant CS","2021","No function","Department for Transport","Department for Transport (excl. agencies)","300","290","37520","34710"
"New entrant CS","2021","No function","Department for Transport","Driver and Vehicle Licensing Agency","250","220","21690","19830"
"New entrant CS","2021","No function","Department for Transport","Driver and Vehicle Standards Agency","190","190","25560","26130"
"New entrant CS","2021","No function","Department for Transport","Maritime and Coastguard Agency","150","140","31450","26590"
"New entrant CS","2021","No function","Department for Transport","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department for Work and Pensions","Health and Safety Executive","170","160","32500","26370"
"New entrant CS","2021","No function","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","630","620","39560","32790"
"New entrant CS","2021","No function","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Department of Health and Social Care","Public Health England","1940","1670","35000","31370"
"New entrant CS","2021","No function","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Food Standards Agency","Food Standards Agency","60","60","34050","32350"
"New entrant CS","2021","No function","HM Land Registry","HM Land Registry","520","510","22890","22350"
"New entrant CS","2021","No function","HM Revenue and Customs","HM Revenue and Customs (excl. agencies)","2140","2090","22010","20140"
"New entrant CS","2021","No function","HM Treasury","HM Treasury (excl. agencies)","320","320","32360","28500"
"New entrant CS","2021","No function","HM Treasury","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Ministry of Defence","Defence Science and Technology Laboratory","130","130","30870","28650"
"New entrant CS","2021","No function","Ministry of Defence","UK Hydrographic Office","50","50","26270","20170"
"New entrant CS","2021","No function","Ministry of Housing, Communities and Local Government","Ministry of Housing, Communities and Local Government (excl. agencies)","200","200","38590","33210"
"New entrant CS","2021","No function","Ministry of Housing, Communities and Local Government","Planning Inspectorate","70","70","27410","21270"
"New entrant CS","2021","No function","Ministry of Justice","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Ministry of Justice","HM Courts and Tribunals Service","1930","1870","20700","19930"
"New entrant CS","2021","No function","Ministry of Justice","HM Prison and Probation Service","5650","5450","23790","22850"
"New entrant CS","2021","No function","Ministry of Justice","Legal Aid Agency","60","50","20360","18880"
"New entrant CS","2021","No function","Ministry of Justice","Ministry of Justice (excl. agencies)","220","210","32380","30850"
"New entrant CS","2021","No function","Ministry of Justice","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","National Crime Agency","National Crime Agency","890","880","33510","32770"
"New entrant CS","2021","No function","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Office for Standards in Education","Office for Standards in Education, Children's Services and Skills","120","120","54560","51360"
"New entrant CS","2021","No function","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","230","230","30990","25750"
"New entrant CS","2021","No function","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"New entrant CS","2021","No function","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Other Cabinet Office Agencies","Crown Commercial Service","50","50","31760","27770"
"New entrant CS","2021","No function","Scottish Government","Crown Office and Procurator Fiscal Service","110","110","22150","20760"
"New entrant CS","2021","No function","Scottish Government","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Scottish Government","Scottish Prison Service","230","220","21530","20810"
"New entrant CS","2021","No function","The National Archives","The National Archives","30","30","[c]","[c]"
"New entrant CS","2021","No function","United Kingdom Statistics Authority","United Kingdom Statistics Authority","360","340","28270","29540"
"New entrant CS","2021","No function","Wales Office","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Cabinet Office","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chancellor's other departments","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Chancellor's other departments","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","70","70","41440","34020"
"New entrant CS","2021","Project Delivery","Department for Education","Department for Education (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Education","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Education","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Environment, Food and Rural Affairs","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department for Transport","Department for Transport (excl. agencies)","70","70","38090","34710"
"New entrant CS","2021","Project Delivery","Department for Transport","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
