"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","LGBO","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Department for Work and Pensions (excl. agencies)","60","60","26170","27570"
"New entrant CS","2021","LGBO","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Department for Work and Pensions (excl. agencies)","80","80","27750","27570"
"New entrant CS","2021","LGBO","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","HM Prison and Probation Service","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Cabinet Office (excl. agencies)","60","60","36500","34550"
"New entrant CS","2021","LGBO","London","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","35170","33570"
"New entrant CS","2021","LGBO","London","Department for Digital, Culture, Media and Sport","50","40","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","London","Department for Work and Pensions (excl. agencies)","200","200","30240","31060"
"New entrant CS","2021","LGBO","London","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","HM Courts and Tribunals Service","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","London","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","HM Prison and Probation Service","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","London","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","London","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Public Health England","60","60","33310","32330"
"New entrant CS","2021","LGBO","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Department for Work and Pensions (excl. agencies)","100","100","23680","21010"
"New entrant CS","2021","LGBO","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Department for Work and Pensions (excl. agencies)","220","210","24740","27570"
"New entrant CS","2021","LGBO","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Overseas","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Overseas","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Overseas","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Department for Work and Pensions (excl. agencies)","90","90","25150","27570"
"New entrant CS","2021","LGBO","Scotland","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Government (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Social Security Scotland","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Department for Work and Pensions (excl. agencies)","190","190","27160","27570"
"New entrant CS","2021","LGBO","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","HM Prison and Probation Service","70","70","23600","22920"
"New entrant CS","2021","LGBO","South East (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Met Office","[c]","[c]","[c]","[c]"
