"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Wales","Male","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","Wales","Male","Unknown","250","240","28410","23050"
"Leaver CS","2021","Wales","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Female","Declared disabled","150","120","26860","26610"
"Leaver CS","2021","West Midlands (England)","Female","Declared non-disabled","610","500","27930","25560"
"Leaver CS","2021","West Midlands (England)","Female","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Female","Unknown","250","230","32070","22350"
"Leaver CS","2021","West Midlands (England)","Male","Declared disabled","90","80","25200","24850"
"Leaver CS","2021","West Midlands (England)","Male","Declared non-disabled","460","420","32780","26640"
"Leaver CS","2021","West Midlands (England)","Male","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Male","Unknown","190","190","31390","24250"
"Leaver CS","2021","Yorkshire and The Humber","Female","Declared disabled","160","130","27770","26120"
"Leaver CS","2021","Yorkshire and The Humber","Female","Declared non-disabled","790","640","28850","26820"
"Leaver CS","2021","Yorkshire and The Humber","Female","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Female","Unknown","280","220","27760","22180"
"Leaver CS","2021","Yorkshire and The Humber","Male","Declared disabled","90","80","30660","26890"
"Leaver CS","2021","Yorkshire and The Humber","Male","Declared non-disabled","600","540","32580","26910"
"Leaver CS","2021","Yorkshire and The Humber","Male","Undeclared","90","80","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","Male","Unknown","260","230","32290","27570"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Female","Declared disabled","160","130","27270","27570"
"Leaver CS","2022","East Midlands (England)","Female","Declared non-disabled","750","660","27570","26780"
"Leaver CS","2022","East Midlands (England)","Female","Undeclared","70","60","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Female","Unknown","290","260","25740","21260"
"Leaver CS","2022","East Midlands (England)","Male","Declared disabled","130","110","29190","26520"
"Leaver CS","2022","East Midlands (England)","Male","Declared non-disabled","590","550","31580","27570"
"Leaver CS","2022","East Midlands (England)","Male","Undeclared","70","70","[c]","[c]"
"Leaver CS","2022","East Midlands (England)","Male","Unknown","220","200","27580","25740"
"Leaver CS","2022","East of England","Female","Declared disabled","170","140","27860","27130"
