"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Public Health England","80","70","47750","48860"
"Leaver Dept.","2022","Male","Knowledge and Information Management","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Medicine","Public Health England","130","120","102490","107000"
"Leaver Dept.","2022","Male","Medicine","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Department for Work and Pensions (excl. agencies)","800","790","27710","27570"
"Leaver Dept.","2022","Male","Operational Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","HM Courts and Tribunals Service","180","180","25700","21490"
"Leaver Dept.","2022","Male","Operational Delivery","HM Prison and Probation Service","160","160","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Home Office","340","340","27770","25040"
"Leaver Dept.","2022","Male","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Ministry of Justice (excl. agencies)","160","160","41360","36800"
"Leaver Dept.","2022","Male","Operational Delivery","National Crime Agency","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Office of the Public Guardian","60","60","24450","20970"
"Leaver Dept.","2022","Male","Operational Delivery","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Public Health England","900","840","42420","37930"
"Leaver Dept.","2022","Male","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","UK Statistics Authority","40","30","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Defence Equipment and Support","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Department for Work and Pensions (excl. agencies)","110","110","28540","27570"
"Leaver Dept.","2022","Male","Other","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Home Office","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Other","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","220","210","46520","40220"
"Leaver Dept.","2022","Male","Policy","Department for Digital, Culture, Media and Sport","70","70","47920","51730"
"Leaver Dept.","2022","Male","Policy","Department for Education (excl. agencies)","80","80","44070","40230"
"Leaver Dept.","2022","Male","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","150","140","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","80","80","42300","35250"
"Leaver Dept.","2022","Male","Policy","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Department of Health and Social Care (excl. agencies)","200","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","HM Treasury (excl. agencies)","60","60","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Home Office","120","110","49540","42410"
"Leaver Dept.","2022","Male","Policy","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Defence Equipment and Support","70","70","41010","39240"
"Leaver Dept.","2022","Male","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Project Delivery","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Psychology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Defence Equipment and Support","70","70","31060","27540"
"Leaver Dept.","2022","Male","Science and Engineering","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Public Health England","660","640","42430","39230"
"Leaver Dept.","2022","Male","Science and Engineering","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Science and Engineering","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Home Office","[c]","[c]","[c]","[c]"
