"Status","Year","Disability","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Declared disabled","UK Statistics Authority","No function","30","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Statistics Authority","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Supreme Court","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","UK Supreme Court","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Legal","670","650","35510","29280"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Commercial","60","60","37030","32000"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Communications","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Digital, Data & Technology","160","160","43360","40600"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Human Resources","100","100","32410","27500"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","No function","160","160","37800","34550"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Property","60","60","42910","40000"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Security","90","80","31990","32000"
"New entrant CS","2022","Declared non-disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Analysis","50","50","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","200","200","28940","24590"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Human Resources","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","No function","540","530","34610","33570"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Project Delivery","50","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","No function","250","250","35670","34020"
"New entrant CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","No function","80","70","37680","36500"
"New entrant CS","2022","Declared non-disabled","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Education","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Analysis","60","60","27280","26670"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Communications","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","200","200","38840","36820"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Finance","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Grants Management","500","480","21600","21300"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Human Resources","60","60","37890","34300"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","No function","1080","1060","33700","32560"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Project Delivery","40","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Property","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","No function","100","100","36420","31800"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","No function","340","330","35680","33210"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Analysis","50","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Commercial","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Digital, Data & Technology","80","80","34380","30730"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Finance","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Human Resources","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","No function","780","750","28870","26130"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Analysis","80","80","29340","31030"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Counter Fraud","580","570","25450","25110"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Debt","230","220","21850","21260"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Digital, Data & Technology","250","250","41510","38500"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Finance","110","110","32000","31060"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Human Resources","100","90","30570","27570"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","No function","5440","5320","25610","27570"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Project Delivery","50","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department for Work and Pensions","Unknown","530","520","28700","27570"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Human Resources","60","60","35250","27270"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","No function","1430","1290","34980","30460"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Estyn","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","No function","60","60","32860","30350"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Food Standards Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Digital, Data & Technology","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","No function","130","130","24610","22600"
"New entrant CS","2022","Declared non-disabled","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Analysis","90","90","34760","33080"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Communications","460","460","27080","26590"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Counter Fraud","410","400","28670","26590"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Debt","380","370","21510","21250"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Digital, Data & Technology","200","200","36110","33080"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Finance","90","90","30170","26590"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Human Resources","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Legal","60","50","36990","30750"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","No function","2300","2250","26180","21250"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Project Delivery","100","100","42320","40180"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Property","210","210","27620","25000"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Revenue and Customs","Unknown","280","260","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","No function","170","170","32640","28500"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Home Office","Unknown","50","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Analysis","110","100","30990","29230"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Commercial","120","110","29870","26670"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Communications","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Digital, Data & Technology","120","120","30160","27000"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Finance","80","80","29430","25000"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Human Resources","120","110","28100","23490"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","No function","420","420","29620","27010"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Project Delivery","780","770","33540","32000"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Property","120","120","30910","33000"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Security","230","230","27340","25000"
"New entrant CS","2022","Declared non-disabled","Ministry of Defence","Unknown","590","570","30280","26350"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Analysis","30","30","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Digital, Data & Technology","120","120","44110","41750"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Human Resources","60","60","34320","31000"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","No function","8780","8460","26470","23720"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
