"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","20-29","Unknown","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Royal Fleet Auxiliary","80","80","20110","16190"
"New entrant CS","2022","20-29","Unknown","Rural Payments Agency","140","140","22040","21300"
"New entrant CS","2022","20-29","Unknown","Scottish Courts and Tribunals Service","70","60","23470","22000"
"New entrant CS","2022","20-29","Unknown","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Scottish Government (excl. agencies)","220","210","28830","27230"
"New entrant CS","2022","20-29","Unknown","Scottish Prison Service","190","180","22220","21640"
"New entrant CS","2022","20-29","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Social Security Scotland","140","140","25070","24400"
"New entrant CS","2022","20-29","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Health Security Agency","150","150","37610","32790"
"New entrant CS","2022","20-29","Unknown","UK Hydrographic Office","30","30","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Statistics Authority","50","40","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Valuation Office Agency","130","130","26050","25000"
"New entrant CS","2022","20-29","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","20-29","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Animal and Plant Health Agency","80","80","26850","24920"
"New entrant CS","2022","30-39","Heterosexual / straight","Cabinet Office (excl. agencies)","160","150","42110","37300"
"New entrant CS","2022","30-39","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Crown Office and Procurator Fiscal Service","80","80","29680","31230"
"New entrant CS","2022","30-39","Heterosexual / straight","Crown Prosecution Service","130","120","37250","38000"
"New entrant CS","2022","30-39","Heterosexual / straight","Defence Equipment and Support","150","140","33800","33000"
"New entrant CS","2022","30-39","Heterosexual / straight","Defence Science and Technology Laboratory","50","50","34190","32630"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","120","120","41470","39570"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Digital, Culture, Media and Sport","70","60","39700","34020"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Education (excl. agencies)","170","170","36800","36500"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","290","280","39050","35900"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for International Trade","50","50","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Levelling Up, Housing and Communities (excl. agencies)","110","110","40130","36340"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Transport (excl. agencies)","110","110","46870","48770"
"New entrant CS","2022","30-39","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","1840","1790","26990","27570"
"New entrant CS","2022","30-39","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","80","70","37950","32790"
"New entrant CS","2022","30-39","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Driver and Vehicle Licensing Agency","110","100","24630","21840"
"New entrant CS","2022","30-39","Heterosexual / straight","Driver and Vehicle Standards Agency","60","60","27230","26130"
"New entrant CS","2022","30-39","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Food Standards Agency","50","50","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Government Legal Department","90","80","45970","50500"
"New entrant CS","2022","30-39","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Health and Safety Executive","50","50","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Courts and Tribunals Service","200","190","25750","20970"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Land Registry","80","80","27290","27130"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Prison and Probation Service","1810","1740","26230","24430"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","1180","1150","28230","26590"
"New entrant CS","2022","30-39","Heterosexual / straight","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Home Office","140","130","30540","24880"
"New entrant CS","2022","30-39","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Intellectual Property Office","40","40","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Ministry of Defence (excl. agencies)","430","410","31280","26350"
"New entrant CS","2022","30-39","Heterosexual / straight","Ministry of Justice (excl. agencies)","100","100","39190","36050"
"New entrant CS","2022","30-39","Heterosexual / straight","National Crime Agency","110","110","35820","34140"
"New entrant CS","2022","30-39","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","50","50","48260","46360"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of Gas and Electricity Markets","100","100","36910","31010"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Public Health England","60","50","38880","36330"
"New entrant CS","2022","30-39","Heterosexual / straight","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Rural Payments Agency","40","30","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Government (excl. agencies)","220","220","35590","31540"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Social Security Scotland","240","230","28060","27230"
"New entrant CS","2022","30-39","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Submarine Delivery Agency","40","40","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Health Security Agency","310","280","37020","32330"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Statistics Authority","180","170","33020","30710"
"New entrant CS","2022","30-39","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Valuation Office Agency","40","40","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Welsh Government (excl. agencies)","70","70","34110","31210"
"New entrant CS","2022","30-39","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Department for Work and Pensions (excl. agencies)","190","180","26800","27570"
"New entrant CS","2022","30-39","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","HM Prison and Probation Service","200","190","25690","24090"
"New entrant CS","2022","30-39","LGBO","HM Revenue and Customs (excl. agencies)","120","120","28710","26590"
"New entrant CS","2022","30-39","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Social Security Scotland","40","30","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Health Security Agency","40","40","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Department for Work and Pensions (excl. agencies)","110","110","28160","27570"
"New entrant CS","2022","30-39","Undeclared","Department of Health and Social Care (excl. agencies)","150","70","40090","36820"
"New entrant CS","2022","30-39","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","HM Prison and Probation Service","100","90","28080","26140"
"New entrant CS","2022","30-39","Undeclared","HM Revenue and Customs (excl. agencies)","70","70","26900","26590"
"New entrant CS","2022","30-39","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","30-39","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
