"Status","Year","Sex","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Unknown","Southern Scotland","880","840","28630","25560"
"In post","2021","Male","Unknown","Surrey, East and West Sussex","700","660","30470","28130"
"In post","2021","Male","Unknown","Tees Valley and Durham","870","810","28380","27150"
"In post","2021","Male","Unknown","Unknown","2000","2000","37630","33570"
"In post","2021","Male","Unknown","West Central Scotland","2310","2220","30890","27570"
"In post","2021","Male","Unknown","West Midlands","1840","1780","31700","27570"
"In post","2021","Male","Unknown","West Wales and The Valleys","920","870","28020","26130"
"In post","2021","Male","Unknown","West Yorkshire","2210","2130","30370","26300"
"In post","2021","Unknown","Heterosexual / straight","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Heterosexual / straight","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
