"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
