"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Unknown","Female","Driver and Vehicle Standards Agency","50","50","26910","21590"
"New entrant CS","2021","Unknown","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Forestry and Land Scotland","40","30","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","HM Courts and Tribunals Service","690","670","21270","19930"
"New entrant CS","2021","Unknown","Female","HM Land Registry","180","170","26050","22350"
"New entrant CS","2021","Unknown","Female","HM Prison and Probation Service","1120","1070","23700","22850"
"New entrant CS","2021","Unknown","Female","HM Revenue and Customs (excl. agencies)","1740","1690","23720","20140"
"New entrant CS","2021","Unknown","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Home Office (incl. agencies)","670","660","31000","27370"
"New entrant CS","2021","Unknown","Female","Insolvency Service","60","60","22950","20880"
"New entrant CS","2021","Unknown","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Met Office","50","50","33970","30930"
"New entrant CS","2021","Unknown","Female","Ministry of Defence (excl. agencies)","210","200","31960","26350"
"New entrant CS","2021","Unknown","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Ministry of Justice (excl. agencies)","130","130","37920","36400"
"New entrant CS","2021","Unknown","Female","National Crime Agency","60","60","36370","32770"
"New entrant CS","2021","Unknown","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Public Health England","30","30","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Scottish Government (excl. agencies)","260","250","37860","30650"
"New entrant CS","2021","Unknown","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Scottish Prison Service","120","110","21680","20810"
"New entrant CS","2021","Unknown","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Social Security Scotland","60","60","26630","22250"
"New entrant CS","2021","Unknown","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","UK Intellectual Property Office","70","70","26890","23320"
"New entrant CS","2021","Unknown","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","United Kingdom Statistics Authority","130","130","30410","29540"
"New entrant CS","2021","Unknown","Female","Valuation Office Agency","70","60","24870","20880"
"New entrant CS","2021","Unknown","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Advisory, Conciliation and Arbitration Service","50","40","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Cabinet Office (excl. agencies)","460","460","44880","28000"
"New entrant CS","2021","Unknown","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Crown Prosecution Service","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Defence Equipment and Support","120","120","26220","19040"
"New entrant CS","2021","Unknown","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","70","70","38930","33570"
"New entrant CS","2021","Unknown","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Department for Education (excl. agencies)","90","90","38250","32940"
"New entrant CS","2021","Unknown","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","38760","33570"
"New entrant CS","2021","Unknown","Male","Department for International Trade","70","70","35980","31800"
"New entrant CS","2021","Unknown","Male","Department for Transport (excl. agencies)","90","90","39700","34710"
"New entrant CS","2021","Unknown","Male","Department for Work and Pensions (excl. agencies)","730","720","27690","27570"
"New entrant CS","2021","Unknown","Male","Department of Health and Social Care (excl. agencies)","350","340","42880","32790"
"New entrant CS","2021","Unknown","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Driver and Vehicle Licensing Agency","70","60","24390","21590"
"New entrant CS","2021","Unknown","Male","Driver and Vehicle Standards Agency","110","110","28800","26580"
"New entrant CS","2021","Unknown","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Forestry and Land Scotland","50","50","24950","25140"
"New entrant CS","2021","Unknown","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","HM Courts and Tribunals Service","390","380","22180","19930"
"New entrant CS","2021","Unknown","Male","HM Land Registry","150","150","26490","22350"
"New entrant CS","2021","Unknown","Male","HM Prison and Probation Service","980","940","24430","22850"
"New entrant CS","2021","Unknown","Male","HM Revenue and Customs (excl. agencies)","1710","1690","24630","20140"
"New entrant CS","2021","Unknown","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Home Office (incl. agencies)","780","770","31740","25630"
"New entrant CS","2021","Unknown","Male","Insolvency Service","50","50","23140","20880"
"New entrant CS","2021","Unknown","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Maritime and Coastguard Agency","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Met Office","80","80","33270","30930"
"New entrant CS","2021","Unknown","Male","Ministry of Defence (excl. agencies)","340","340","29650","25540"
"New entrant CS","2021","Unknown","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Ministry of Justice (excl. agencies)","120","120","41840","36800"
"New entrant CS","2021","Unknown","Male","National Crime Agency","60","60","38870","36740"
"New entrant CS","2021","Unknown","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Scottish Government (excl. agencies)","170","160","39060","32140"
"New entrant CS","2021","Unknown","Male","Scottish Prison Service","140","140","22420","20810"
"New entrant CS","2021","Unknown","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Social Security Scotland","50","50","27860","20060"
"New entrant CS","2021","Unknown","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","UK Intellectual Property Office","60","60","27460","23320"
"New entrant CS","2021","Unknown","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","United Kingdom Statistics Authority","150","150","31090","29540"
"New entrant CS","2021","Unknown","Male","Valuation Office Agency","50","50","26340","24500"
"New entrant CS","2021","Unknown","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Animal and Plant Health Agency","210","200","26020","24920"
"New entrant CS","2022","Heterosexual / straight","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Cabinet Office (excl. agencies)","340","340","36620","32000"
"New entrant CS","2022","Heterosexual / straight","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Companies House","70","60","27870","24500"
"New entrant CS","2022","Heterosexual / straight","Female","Competition and Markets Authority","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Crown Commercial Service","60","60","33860","30420"
"New entrant CS","2022","Heterosexual / straight","Female","Crown Office and Procurator Fiscal Service","240","240","26260","21050"
"New entrant CS","2022","Heterosexual / straight","Female","Crown Prosecution Service","420","410","30770","25480"
"New entrant CS","2022","Heterosexual / straight","Female","Defence Equipment and Support","240","230","29180","26000"
"New entrant CS","2022","Heterosexual / straight","Female","Defence Science and Technology Laboratory","80","70","31260","29230"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","250","240","37670","33570"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Digital, Culture, Media and Sport","160","160","34430","34020"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Education (excl. agencies)","340","320","33720","29360"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","670","650","37050","34260"
"New entrant CS","2022","Heterosexual / straight","Female","Department for International Trade","120","120","35550","31800"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Levelling Up, Housing and Communities (excl. agencies)","220","210","36560","33210"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Transport (excl. agencies)","210","210","40450","38650"
"New entrant CS","2022","Heterosexual / straight","Female","Department for Work and Pensions (excl. agencies)","4430","4280","25990","27570"
"New entrant CS","2022","Heterosexual / straight","Female","Department of Health and Social Care (excl. agencies)","220","200","36800","32790"
"New entrant CS","2022","Heterosexual / straight","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Driver and Vehicle Licensing Agency","200","180","21850","21840"
"New entrant CS","2022","Heterosexual / straight","Female","Driver and Vehicle Standards Agency","90","90","26430","26130"
"New entrant CS","2022","Heterosexual / straight","Female","Education and Skills Funding Agency","70","70","32350","29360"
"New entrant CS","2022","Heterosexual / straight","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Food Standards Agency","90","90","33810","30350"
"New entrant CS","2022","Heterosexual / straight","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Government Legal Department","190","180","41530","43920"
"New entrant CS","2022","Heterosexual / straight","Female","Government Property Agency","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Health and Safety Executive","110","110","30320","26370"
"New entrant CS","2022","Heterosexual / straight","Female","HM Courts and Tribunals Service","620","590","23940","20970"
"New entrant CS","2022","Heterosexual / straight","Female","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","HM Land Registry","160","150","26200","22600"
"New entrant CS","2022","Heterosexual / straight","Female","HM Prison and Probation Service","5430","5160","26950","24430"
"New entrant CS","2022","Heterosexual / straight","Female","HM Revenue and Customs (excl. agencies)","2040","1980","26590","26590"
"New entrant CS","2022","Heterosexual / straight","Female","HM Treasury (excl. agencies)","120","120","31710","28500"
"New entrant CS","2022","Heterosexual / straight","Female","Home Office","260","260","29420","24880"
"New entrant CS","2022","Heterosexual / straight","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Intellectual Property Office","70","60","27910","24030"
"New entrant CS","2022","Heterosexual / straight","Female","Legal Aid Agency","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Maritime and Coastguard Agency","40","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Met Office","70","60","29650","24150"
"New entrant CS","2022","Heterosexual / straight","Female","Ministry of Defence (excl. agencies)","780","730","29170","26350"
"New entrant CS","2022","Heterosexual / straight","Female","Ministry of Justice (excl. agencies)","220","220","35430","34260"
"New entrant CS","2022","Heterosexual / straight","Female","National Crime Agency","190","180","35720","32890"
"New entrant CS","2022","Heterosexual / straight","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office for Standards in Education, Children's Services and Skills","160","160","48120","46360"
"New entrant CS","2022","Heterosexual / straight","Female","Office of Gas and Electricity Markets","180","180","35900","30950"
"New entrant CS","2022","Heterosexual / straight","Female","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office of the Public Guardian","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Public Health England","150","130","39080","36330"
"New entrant CS","2022","Heterosexual / straight","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Rural Payments Agency","90","90","22170","21300"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Courts and Tribunals Service","80","80","24450","22000"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Government (excl. agencies)","390","380","35050","31540"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Social Security Scotland","480","460","27800","27230"
"New entrant CS","2022","Heterosexual / straight","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Submarine Delivery Agency","50","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","The National Archives","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","UK Export Finance","60","60","40800","33180"
"New entrant CS","2022","Heterosexual / straight","Female","UK Health Security Agency","840","760","34290","30390"
"New entrant CS","2022","Heterosexual / straight","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","UK Statistics Authority","420","370","28650","27030"
"New entrant CS","2022","Heterosexual / straight","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Valuation Office Agency","110","100","27010","25000"
"New entrant CS","2022","Heterosexual / straight","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Welsh Government (excl. agencies)","170","160","35260","31210"
"New entrant CS","2022","Heterosexual / straight","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Animal and Plant Health Agency","130","130","26620","24920"
"New entrant CS","2022","Heterosexual / straight","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Cabinet Office (excl. agencies)","280","270","40310","34550"
"New entrant CS","2022","Heterosexual / straight","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Companies House","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Competition and Markets Authority","60","60","49260","37000"
"New entrant CS","2022","Heterosexual / straight","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Crown Commercial Service","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Crown Office and Procurator Fiscal Service","110","100","27490","21050"
"New entrant CS","2022","Heterosexual / straight","Male","Crown Prosecution Service","160","160","36340","34780"
"New entrant CS","2022","Heterosexual / straight","Male","Defence Equipment and Support","410","400","33240","32000"
"New entrant CS","2022","Heterosexual / straight","Male","Defence Science and Technology Laboratory","140","140","32450","29230"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","230","220","37640","33570"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Digital, Culture, Media and Sport","130","130","38050","34020"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Education (excl. agencies)","200","200","36530","32870"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","480","480","38790","35900"
"New entrant CS","2022","Heterosexual / straight","Male","Department for International Trade","110","110","38950","31800"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Levelling Up, Housing and Communities (excl. agencies)","190","180","36430","33210"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Transport (excl. agencies)","170","170","44500","42470"
"New entrant CS","2022","Heterosexual / straight","Male","Department for Work and Pensions (excl. agencies)","3170","3140","26660","27570"
"New entrant CS","2022","Heterosexual / straight","Male","Department of Health and Social Care (excl. agencies)","100","90","37480","32790"
"New entrant CS","2022","Heterosexual / straight","Male","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Driver and Vehicle Licensing Agency","190","190","23740","21840"
"New entrant CS","2022","Heterosexual / straight","Male","Driver and Vehicle Standards Agency","170","170","27270","26130"
"New entrant CS","2022","Heterosexual / straight","Male","Education and Skills Funding Agency","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Food Standards Agency","60","60","33400","32350"
"New entrant CS","2022","Heterosexual / straight","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Government Legal Department","80","80","38260","29280"
"New entrant CS","2022","Heterosexual / straight","Male","Government Property Agency","[c]","[c]","[c]","[c]"
