"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","SCS","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","No function","170","160","93890","91370"
"In post","2021","SCS","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Asian","Unknown","40","40","[c]","[c]"
"In post","2021","SCS","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","No function","60","50","98350","93000"
"In post","2021","SCS","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","No function","70","70","84430","75980"
"In post","2021","SCS","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","No function","100","90","91990","84640"
"In post","2021","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Commercial","400","400","87570","72000"
"In post","2021","SCS","Unknown","Communications","30","30","[c]","[c]"
"In post","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Legal","60","60","86290","79470"
"In post","2021","SCS","Unknown","No function","350","340","92500","80180"
"In post","2021","SCS","Unknown","Project Delivery","70","70","95070","88000"
"In post","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","130","130","93730","85000"
"In post","2021","SCS","White","Analysis","140","130","88320","78830"
"In post","2021","SCS","White","Commercial","150","150","105660","95580"
"In post","2021","SCS","White","Communications","90","90","90920","82850"
"In post","2021","SCS","White","Counter Fraud","40","40","[c]","[c]"
"In post","2021","SCS","White","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","White","Digital, Data & Technology","190","180","90040","83410"
"In post","2021","SCS","White","Finance","230","220","91470","85100"
"In post","2021","SCS","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","White","Human Resources","190","180","90080","83160"
"In post","2021","SCS","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","White","Legal","340","330","89810","83230"
"In post","2021","SCS","White","No function","2190","2080","89760","80530"
"In post","2021","SCS","White","Project Delivery","570","550","91190","83230"
"In post","2021","SCS","White","Property","70","70","91060","81450"
"In post","2021","SCS","White","Security","40","40","[c]","[c]"
"In post","2021","SCS","White","Unknown","1080","1050","90070","83230"
"In post","2021","SEO/HEO","Asian","Analysis","220","210","37000","36160"
"In post","2021","SEO/HEO","Asian","Commercial","140","140","38190","37590"
"In post","2021","SEO/HEO","Asian","Communications","210","210","35090","32280"
"In post","2021","SEO/HEO","Asian","Counter Fraud","240","240","35180","36160"
"In post","2021","SEO/HEO","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Digital, Data & Technology","390","380","36810","36500"
"In post","2021","SEO/HEO","Asian","Finance","350","340","37810","36890"
"In post","2021","SEO/HEO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Human Resources","210","210","36710","36160"
"In post","2021","SEO/HEO","Asian","Internal Audit","50","40","[c]","[c]"
"In post","2021","SEO/HEO","Asian","Legal","280","260","37960","38300"
"In post","2021","SEO/HEO","Asian","No function","2670","2570","36540","35700"
"In post","2021","SEO/HEO","Asian","Project Delivery","580","570","36800","36790"
"In post","2021","SEO/HEO","Asian","Property","110","110","37990","37380"
"In post","2021","SEO/HEO","Asian","Security","60","60","39270","38230"
"In post","2021","SEO/HEO","Asian","Unknown","1890","1830","37340","36500"
"In post","2021","SEO/HEO","Black","Analysis","110","110","37580","36800"
"In post","2021","SEO/HEO","Black","Commercial","100","100","39700","39440"
"In post","2021","SEO/HEO","Black","Communications","80","80","35770","34970"
"In post","2021","SEO/HEO","Black","Counter Fraud","100","90","35860","36160"
"In post","2021","SEO/HEO","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Digital, Data & Technology","200","190","36840","36160"
"In post","2021","SEO/HEO","Black","Finance","190","190","38450","37510"
"In post","2021","SEO/HEO","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Human Resources","150","150","37250","36390"
"In post","2021","SEO/HEO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Legal","150","150","37090","36240"
"In post","2021","SEO/HEO","Black","No function","1370","1340","37060","36160"
"In post","2021","SEO/HEO","Black","Project Delivery","370","360","36320","36160"
"In post","2021","SEO/HEO","Black","Property","70","70","38890","37580"
"In post","2021","SEO/HEO","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Black","Unknown","960","940","37770","36650"
"In post","2021","SEO/HEO","Chinese","Analysis","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","No function","150","140","37790","36880"
"In post","2021","SEO/HEO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Chinese","Unknown","90","80","37770","36840"
"In post","2021","SEO/HEO","Mixed","Analysis","110","110","35800","34710"
"In post","2021","SEO/HEO","Mixed","Commercial","50","40","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Communications","80","80","36790","36360"
"In post","2021","SEO/HEO","Mixed","Counter Fraud","50","50","36880","36160"
"In post","2021","SEO/HEO","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Digital, Data & Technology","90","90","37000","36490"
"In post","2021","SEO/HEO","Mixed","Finance","70","70","37420","36970"
"In post","2021","SEO/HEO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Human Resources","80","70","35320","34640"
"In post","2021","SEO/HEO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Legal","60","60","37780","38000"
"In post","2021","SEO/HEO","Mixed","No function","910","880","36630","35590"
"In post","2021","SEO/HEO","Mixed","Project Delivery","220","210","35840","36160"
"In post","2021","SEO/HEO","Mixed","Property","50","50","36810","36400"
"In post","2021","SEO/HEO","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Mixed","Unknown","510","490","37360","36650"
"In post","2021","SEO/HEO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","No function","300","280","38040","36360"
"In post","2021","SEO/HEO","Other ethnicity","Project Delivery","70","60","36940","36720"
"In post","2021","SEO/HEO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Other ethnicity","Unknown","140","140","38030","37410"
"In post","2021","SEO/HEO","Undeclared","Analysis","120","110","37230","37320"
"In post","2021","SEO/HEO","Undeclared","Commercial","150","150","37660","37920"
"In post","2021","SEO/HEO","Undeclared","Communications","90","90","36070","34250"
"In post","2021","SEO/HEO","Undeclared","Counter Fraud","260","250","35660","36160"
"In post","2021","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Digital, Data & Technology","360","350","38010","38450"
"In post","2021","SEO/HEO","Undeclared","Finance","150","150","37900","36970"
"In post","2021","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Human Resources","100","100","36050","34280"
"In post","2021","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Legal","110","110","39450","38630"
"In post","2021","SEO/HEO","Undeclared","No function","1920","1820","37530","36940"
"In post","2021","SEO/HEO","Undeclared","Project Delivery","820","790","37290","37810"
