"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Operational Delivery","220","210","22840","22350"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Tax","90","90","25430","25560"
"New entrant CS","2021","Derbyshire and Nottinghamshire","Unknown","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Devon","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Digital, Data and Technology","30","30","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Operational Delivery","200","190","22960","22850"
"New entrant CS","2021","Devon","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Science and Engineering","50","50","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Declared non-disabled","Unknown","240","230","23990","21010"
"New entrant CS","2021","Devon","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Digital, Data and Technology","60","60","30880","27130"
"New entrant CS","2021","Devon","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Operational Delivery","150","140","23680","22350"
"New entrant CS","2021","Devon","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Unknown","50","40","[c]","[c]"
"New entrant CS","2021","Devon","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Operational Delivery","90","80","23160","22850"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Unknown","160","150","25450","27570"
"New entrant CS","2021","Dorset and Somerset","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Operational Delivery","100","100","24110","22350"
"New entrant CS","2021","Dorset and Somerset","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared disabled","Unknown","70","70","26700","27570"
"New entrant CS","2021","East Anglia","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Operational Delivery","360","340","24380","22850"
"New entrant CS","2021","East Anglia","Declared non-disabled","Other","40","40","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Science and Engineering","30","30","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Security","30","30","[c]","[c]"
"New entrant CS","2021","East Anglia","Declared non-disabled","Unknown","320","310","26590","27570"
"New entrant CS","2021","East Anglia","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Operational Delivery","210","190","22930","22350"
"New entrant CS","2021","East Anglia","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Anglia","Unknown","Unknown","40","40","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","East Wales","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Digital, Data and Technology","60","60","35130","35800"
"New entrant CS","2021","East Wales","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Operational Delivery","300","290","23510","22850"
"New entrant CS","2021","East Wales","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Declared non-disabled","Tax","90","90","21420","20140"
"New entrant CS","2021","East Wales","Declared non-disabled","Unknown","220","220","25280","27570"
"New entrant CS","2021","East Wales","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Digital, Data and Technology","80","80","35770","32640"
"New entrant CS","2021","East Wales","Unknown","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Operational Delivery","400","390","23390","22850"
"New entrant CS","2021","East Wales","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Social Research","40","40","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Statistics","40","40","[c]","[c]"
"New entrant CS","2021","East Wales","Unknown","Tax","140","140","21760","20140"
"New entrant CS","2021","East Wales","Unknown","Unknown","60","60","27730","27570"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","East Yorkshire and Northern Lincolnshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
